Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	31	mix	64.98854649998248	65.00219649996143	72.04567829996813	72.05331589991692	7.0434818000067025	0	-1.5	0.78	bottom	left	right	safe	good	0.0	10.0	
2	39	mix	78.8242758999113	78.83016959996894	82.05679339997005	82.06362869997974	3.226623800001107	0	-0.5	0.75	top	left	right	safe	bad	0.0	10.0	
3	56	gain	89.27009689994156	89.28108370001428	92.68452319991775	94.70093269995414	3.4034394999034703	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	10.0	
4	95	gain	109.0765073999064	109.08470120001584	112.12433569994755	114.14056769991294	3.039634499931708	0.6	0	1.49	top	left	left	gamble	bad	0.0	10.0	
5	59	gain	119.50686650001444	119.50760629994329	123.53452479990665	125.55142889998388	4.026918499963358	0.2	0	0.84	bottom	right	right	gamble	good	0.84	10.84	
6	127	loss	130.6736112999497	130.67436119995546	135.2118402000051	137.22731489990838	4.537479000049643	-0.4	-1.26	0	top	right	right	gamble	good	0.0	10.84	
7	42	mix	150.871267599985	150.8719984999625	154.38470499997493	154.3938366000075	3.5127065000124276	0	-0.8	1.2	top	right	left	safe	good	0.0	10.84	
8	16	mix	161.63223439990543	161.64009389991406	165.97868850000668	167.99526080000214	4.33859460009262	0	-0.8	0.24	bottom	left	left	gamble	bad	-0.8	10.04	
9	44	mix	173.02241739991587	173.0231308999937	176.57306239998434	178.5894144999329	3.5499314999906346	0	-1.1	1.1	bottom	right	right	gamble	bad	-1.1	8.94	
10	89	gain	192.6157297999598	192.62314299994614	196.06278669997118	198.0802107999334	3.4396437000250444	0.5	0	2.1	top	left	left	gamble	good	2.1	11.04	
11	81	gain	203.28859349992126	203.29374090000056	207.30729419994168	209.32321689999662	4.0135532999411225	0.5	0	0.84	bottom	left	left	gamble	bad	0.0	11.04	
12	48	mix	214.81531510001514	214.81603139999788	218.68413609999698	218.6919373999117	3.868104699999094	0	-1.5	1.8	bottom	right	left	safe	good	0.0	11.04	
13	105	loss	231.9269089999143	231.9329088999657	235.2759333999129	235.28353060001973	3.343024499947205	-0.2	-0.5	0	top	left	right	safe	good	-0.2	10.84	
