Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	10	mix	505.92937100026757	505.938653500285	508.8317526001483	508.83950710017234	2.8930990998633206	0	-0.5	0.2	top	left	right	safe	bad	0.0	10.0	
2	131	loss	515.7810244001448	515.790758300107	518.1269582002424	520.1419355003163	2.336199900135398	-0.5	-0.84	0	bottom	left	left	gamble	bad	-0.84	9.16	
3	70	gain	524.8447949001566	524.8504669000395	527.3887758003548	529.4051572000608	2.5383089003153145	0.3	0	1.5	top	left	left	gamble	bad	0.0	9.16	
4	148	loss	541.1142940004356	541.1150586004369	545.1621277001686	545.170220200438	4.047069099731743	-0.6	-2.16	0	bottom	right	left	safe	good	-0.6	8.56	
5	78	gain	552.2136047002859	552.2144159004092	556.6234199004248	558.6391381002031	4.409004000015557	0.4	0	1.44	top	right	right	gamble	bad	0.0	8.56	
6	129	loss	563.1604305002838	563.1611579000019	566.5007249000482	568.516431200318	3.3395670000463724	-0.4	-1.68	0	top	right	right	gamble	good	0.0	8.56	
7	143	loss	579.7117230002768	579.7124535003677	583.2250989000313	583.22980070021	3.5126453996635973	-0.6	-1.2	0	top	right	left	safe	bad	-0.6	7.96	
8	23	mix	590.7386088003404	590.7393723004498	595.5361003000289	597.5522896000184	4.796727999579161	0	-1.1	0.33	bottom	right	right	gamble	bad	-1.1	6.86	
9	146	loss	602.1088748001494	602.115536400117	607.3131576003507	609.328225100413	5.197621200233698	-0.6	-1.68	0	bottom	left	left	gamble	good	0.0	6.86	
10	59	gain	619.6906340001151	619.6913858000189	625.0198795003816	627.0364230000414	5.328493700362742	0.2	0	0.84	bottom	right	right	gamble	good	0.84	7.7	
11	113	loss	632.1541001000442	632.1548691000789	639.5463295001537	639.5541052999906	7.39146040007472	-0.3	-0.6	0	bottom	right	left	safe	bad	-0.3	7.4	
12	43	mix	646.1302487002686	646.1309734000824	650.6062616002746	652.6230398002081	4.4752882001921535	0	-0.8	1.6	top	right	right	gamble	good	1.6	9.0	
13	45	mix	665.3813915001228	665.3900921000168	670.5797050003894	670.5880402000621	5.189612900372595	0	-1.1	1.32	top	left	right	safe	good	0.0	9.0	
14	60	gain	677.3035651003011	677.3105448000133	681.8565494003706	683.8721320000477	4.546004600357264	0.2	0	1	top	left	left	gamble	good	1.0	10.0	
15	46	mix	688.9270625002682	688.936288700439	696.1328053004108	696.1398853003047	7.196516599971801	0	-1.1	1.65	bottom	left	right	safe	bad	0.0	10.0	
16	33	mix	710.8758248002268	710.876627500169	717.0214070002548	719.0380446002819	6.1447795000858605	0	-1.5	1.23	bottom	right	right	gamble	good	1.23	11.23	
17	137	loss	723.9969935002737	724.0068981000222	731.8974283002317	733.913643900305	7.890530200209469	-0.5	-1.58	0	bottom	left	left	gamble	bad	-1.58	9.65	
18	38	mix	738.7110736002214	738.7118038004264	741.3756307000294	741.3832086003385	2.6638268996030092	0	-0.5	0.6	bottom	right	left	safe	bad	0.0	9.65	
