Round	Rating	RatingOnset	RT	
1	65	262.061619900167	16.092354900203645	
1	50	433.8206362002529	16.442434299737215	
4	58	533.9600219000131	6.1220683003775775	
7	58	572.6297522000968	6.04883040022105	
10	39	613.9404609003104	4.716872099786997	
13	72	656.9108577002771	7.438393299933523	
16	62	702.7036073002964	7.138408199883997	
19	61	748.0854767002165	6.8494118000380695	
22	34	791.5302458000369	5.499620200134814	
25	36	836.3654513000511	5.524024800397456	
28	41	873.8671407001093	4.769663900136948	
31	64	911.6358881001361	5.080255100037903	
34	37	950.1614349000156	4.601735600270331	
37	37	991.0070513002574	5.484244300052524	
40	33	1030.973733900115	5.712919500190765	
43	69	1072.0566218001768	4.758851100225002	
46	68	1112.0096190003678	4.467668999917805	
49	70	1150.0879860999994	4.835640100296587	
52	32	1190.4319272004068	6.15368999959901	
55	30	1233.7065970003605	6.456168700009584	
58	34	1274.7369986004196	4.605040999595076	
61	31	1311.4532475001179	4.702478500083089	
64	34	1353.0272192000411	3.890466900076717	
67	28	1388.2456333003938	6.801874099764973	
70	66	1427.411597000435	4.149199499748647	
73	26	1462.617463900242	5.358061899896711	
76	24	1500.760105300229	5.544142100028694	
79	55	2114.6933071003295	6.070356099866331	
82	25	2153.3906436003745	6.886159699875861	
85	63	2358.7944783000275	3.958870999980718	
88	33	2396.055388400331	5.5769722000695765	
91	33	2430.3733124001883	3.759025299921632	
94	56	2464.2206236002967	54.65036199986935	
97	61	2550.642357900273	4.043024799786508	
100	39	2584.8479448002763	31.7881438001059	
103	25	2647.7356085004285	3.9984339997172356	
106	44	2681.1965795001015	5.055731600150466	
109	32	2720.4195034001023	6.025398900266737	
112	21	2759.9129822002724	3.661850899923593	
115	60	2792.8402423001826	5.016140799969435	
118	77	2833.558937400114	5.126507900189608	
121	67	2870.6816782001406	5.650424899999052	
124	72	2907.8325835000724	5.513131400104612	
127	72	2946.2082053003833	4.916608599945903	
130	36	2983.0116414004005	5.561400999780744	
133	29	3021.2666885000654	5.085684800054878	
136	36	3057.170551800169	3.8309084000065923	
139	77	3094.3871470000595	4.860328000038862	
142	76	3133.5076984004118	4.7861203998327255	
145	26	3172.87508480018	4.314322500023991	
148	29	3210.3896704004146	6.379536599852145	
151	76	3249.4140193001367	5.068618000019342	

Start Time: 09:58:16
End Time: 10:52:53
