Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	51	gain	173.7196467	173.7301289	175.55731859999997	175.56428139999997	1.8271896999999626	0.2	0	0.34	bottom	left	right	safe	good	0.2	10.2	
2	127	loss	183.05505069999998	183.0558423	188.1499349	190.166925	5.09409260000001	-0.4	-1.26	0	top	right	right	gamble	good	0.0	10.2	
3	147	loss	194.23139249999997	194.23787779999998	197.22906159999997	197.23604919999997	2.9911837999999875	-0.6	-1.9	0	top	left	right	safe	good	-0.6	9.6	
4	7	mix	214.3540651	214.3611287	215.93540739999997	217.95219980000002	1.5742786999999794	0	-0.3	0.3	top	left	left	gamble	good	0.3	9.9	
5	110	loss	223.1267954	223.1340326	225.7972337	227.8132329	2.6632010999999807	-0.2	-1	0	top	left	left	gamble	good	0.0	9.9	
6	100	gain	232.9947045	233.0014349	236.2744369	238.2914237	3.2730020000000195	0.6	0	3	top	left	left	gamble	good	3.0	12.9	
7	15	mix	253.7660495	253.766815	256.0308153	256.0383705	2.2640002999999638	0	-0.8	0.16	top	right	left	safe	good	0.0	12.9	
8	27	mix	263.3844707	263.3851911	267.8080687	267.8131312	4.4228775999999925	0	-1.1	0.9	top	right	left	safe	bad	0.0	12.9	
9	35	mix	275.1396039	275.1472293	277.0368141	279.0527348	1.8895848000000228	0	-0.3	0.36	top	left	left	gamble	good	0.36	13.26	
10	101	loss	286.4820984	286.4900973	287.9809707	289.9973258	1.4908733999999981	-0.2	-0.34	0	bottom	left	left	gamble	bad	-0.34	12.92	
11	2	mix	295.51488	295.5155911	297.0761497	297.083971	1.560558599999979	0	-0.3	0.09	top	right	left	safe	bad	0.0	12.92	
12	119	loss	303.8485213	303.8493567	306.0209244	306.0278909	2.1715677000000255	-0.3	-1.26	0	bottom	right	left	safe	good	-0.3	12.62	
13	123	loss	322.5800848	322.5808421	324.82826	324.83565369999997	2.2474179000000163	-0.4	-0.8	0	bottom	right	left	safe	good	-0.4	12.22	
14	14	mix	331.7813132	331.8278793	334.5729583	336.5892668	2.7450789999999756	0	-0.5	0.5	top	left	left	gamble	good	0.5	12.72	
15	87	gain	341.1385206	341.1463205	344.4006116	346.4173655	3.254291099999989	0.5	0	1.58	bottom	left	left	gamble	bad	0.0	12.72	
16	136	loss	360.0928316	360.09966419999995	363.9231209	363.92933609999994	3.823456700000065	-0.5	-1.4	0	top	left	right	safe	good	-0.5	12.22	
17	86	gain	370.77624369999995	370.78381629999996	375.1176112	377.13412909999994	4.3337949000000435	0.5	0	1.4	top	left	left	gamble	bad	0.0	12.22	
18	124	loss	382.40087839999995	382.40159420000003	384.66308409999994	384.6701033	2.2614898999999014	-0.4	-0.89	0	bottom	right	left	safe	bad	-0.4	11.82	
19	26	mix	402.53769300000005	402.5460665	405.7847926	407.80113	3.238726100000008	0	-1.1	0.73	bottom	left	left	gamble	bad	-1.1	10.72	
20	107	loss	412.6789706	412.6874134	415.0970093	415.1045707	2.4095958999999993	-0.2	-0.63	0	top	left	right	safe	bad	-0.2	10.52	
21	129	loss	422.3811903	422.3819656	430.3727809	0	0	-0.4	-1.68	0	top	right	NaN	NaN	Nan	0	10.52	
22	52	gain	440.9172306	440.91798839999996	443.78119639999994	445.7980087	2.863207999999986	0.2	0	0.36	top	right	right	gamble	good	0.36	10.88	
23	43	mix	450.1051845	450.10594769999994	451.777491	451.78453959999996	1.671543300000053	0	-0.8	1.6	top	right	left	safe	bad	0.0	10.88	
24	55	gain	458.5978832	458.60452979999997	462.4214609	462.42912010000003	3.8169311000000334	0.2	0	0.5	top	left	right	safe	good	0.2	11.08	
25	80	gain	479.1802766	479.185584	480.4784344	482.49524579999996	1.2928504000000203	0.4	0	2	top	left	left	gamble	bad	0.0	11.08	
26	34	mix	487.67743149999995	487.6781584	491.12288859999995	493.1383888	3.444730199999981	0	-1.5	1.5	bottom	right	right	gamble	good	1.5	12.58	
27	72	gain	498.37764280000005	498.38159219999994	501.4547214	503.46750000000003	3.0731292000000394	0.4	0	0.73	top	left	left	gamble	bad	0.0	12.58	
28	63	gain	517.5933201	517.5940843000001	519.9914017000001	522.0075922000001	2.39731740000002	0.3	0	0.6	bottom	right	right	gamble	good	0.6	13.18	
29	116	loss	527.247284	527.2533469	529.3363926	531.3527409999999	2.083045699999957	-0.3	-0.84	0	bottom	left	left	gamble	bad	-0.84	12.34	
30	131	loss	536.5701615	536.5737260999999	542.3463316	542.3540780999999	5.772605500000054	-0.5	-0.84	0	bottom	left	right	safe	good	-0.5	11.84	
31	36	mix	559.4872607	559.4951312000001	561.5023027	561.5063642	2.007171499999913	0	-0.3	0.45	top	left	right	safe	good	0.0	11.84	
32	38	mix	568.4388896	568.4396397	570.2315054999999	570.2389310000001	1.7918657999998686	0	-0.5	0.6	bottom	right	left	safe	bad	0.0	11.84	
33	142	loss	576.9263959	576.9271715	579.7263321	579.7338546999999	2.79916060000005	-0.6	-1.09	0	top	right	left	safe	good	-0.6	11.24	
34	65	gain	596.2178305	596.2185884	598.6991143	598.7062908999999	2.480525899999975	0.3	0	0.74	top	right	left	safe	good	0.3	11.54	
35	114	loss	605.8841631	605.8920665999999	608.1274421999999	608.1344283000001	2.2353755999999976	-0.3	-0.67	0	top	left	right	safe	bad	-0.3	11.24	
36	144	loss	614.9541435000001	614.9548864999999	617.6895651	617.6964765	2.734678600000052	-0.6	-1.33	0	bottom	right	left	safe	good	-0.6	10.64	
37	62	gain	633.0978018999999	633.1035188999999	636.1790804	636.1833400999999	3.075561500000049	0.3	0	0.55	bottom	left	right	safe	good	0.3	10.94	
38	75	gain	643.6285915999999	643.6353973	646.8408632999999	646.8483263999999	3.2054659999998876	0.4	0	0.99	top	left	right	safe	bad	0.4	11.34	
39	39	mix	654.3640914	654.371664	658.7678328	658.7760695	4.396168799999941	0	-0.5	0.75	top	left	right	safe	bad	0.0	11.34	
40	71	gain	675.043226	675.0508442	677.1247103000001	677.1316116999999	2.073866100000032	0.4	0	0.67	bottom	left	right	safe	bad	0.4	11.74	
41	37	mix	683.9018461999999	683.9098251999999	686.9692613	688.9855	3.0594361000000845	0	-0.3	0.6	bottom	left	left	gamble	bad	-0.3	11.44	
42	95	gain	693.5632578	693.5722498	696.0145845	696.0194343000001	2.4423346999999467	0.6	0	1.49	top	left	right	safe	good	0.6	12.04	
43	29	mix	712.0065784000001	712.0073818000001	715.6702746999999	715.6736484	3.6628928999998607	0	-1.5	0.45	top	right	left	safe	bad	0.0	12.04	
44	78	gain	723.0735073000001	723.0742591000001	725.6152216999999	725.622805	2.5409625999998298	0.4	0	1.44	top	right	left	safe	good	0.4	12.44	
45	12	mix	732.1876503999999	732.1962896	734.8269633	734.8340570999999	2.6306736999999885	0	-0.5	0.33	bottom	left	right	safe	good	0.0	12.44	
46	57	gain	750.7354378	750.7439033999999	753.6341130999999	753.6410977	2.890209700000014	0.2	0	0.63	top	left	right	safe	bad	0.2	12.64	
47	10	mix	760.6394559999999	760.6466513999999	763.0953136	765.1110928999999	2.4486622000001717	0	-0.5	0.2	top	left	left	gamble	good	0.2	12.84	
48	143	loss	770.0169639999999	770.017717	774.9888559999999	774.9931288	4.971138999999994	-0.6	-1.2	0	top	right	left	safe	bad	-0.6	12.24	
49	118	loss	791.8979912	791.8987505	794.8452338	796.8626426999999	2.9464832999999544	-0.3	-1.08	0	top	right	right	gamble	good	0.0	12.24	
50	84	gain	801.1256851	801.1264412	804.1073644999999	804.1142444	2.9809232999998585	0.5	0	1.11	bottom	right	left	safe	bad	0.5	12.74	
51	98	gain	811.4277591	811.4285884999999	814.5684722000001	814.5761116000001	3.139883700000155	0.6	0	2.16	bottom	right	left	safe	good	0.6	13.34	
52	1	mix	830.7099524	830.7158727000001	833.7584308999999	833.7660056	3.042558199999803	0	-0.3	0.06	bottom	left	right	safe	good	0.0	13.34	
53	140	loss	840.4581456999999	840.4589172999999	844.5186595	844.5232779999999	4.059742200000073	-0.5	-2.5	0	top	right	left	safe	good	-0.5	12.84	
54	22	mix	851.3196330999999	851.3264073	853.3141611000001	853.3220842999999	1.987753800000064	0	-1.1	0.22	top	left	right	safe	good	0.0	12.84	
55	91	gain	869.8732766999999	869.8808165999999	872.3544167	872.3625445	2.4736001000001124	0.6	0	1.01	bottom	left	right	safe	good	0.6	13.44	
56	109	loss	879.885714	879.8869757	882.6992324	884.7142010999999	2.8122567000000345	-0.2	-0.84	0	bottom	right	right	gamble	good	0.0	13.44	
57	133	loss	889.9163856	889.9171007	895.3251845999998	895.3328764	5.408083899999838	-0.5	-1	0	bottom	right	left	safe	bad	-0.5	12.94	
58	108	loss	910.7349655999999	910.7357571	912.9825094	914.9980472	2.2467523000000256	-0.2	-0.72	0	bottom	right	right	gamble	good	0.0	12.94	
59	24	mix	919.993896	919.9947949999998	922.1613566999999	922.1682791999999	2.166561700000102	0	-1.1	0.44	bottom	right	left	safe	bad	0.0	12.94	
60	96	gain	928.9008589999999	928.9050614999999	931.0229548999998	931.0299725999998	2.117893399999957	0.6	0	1.68	bottom	left	right	safe	bad	0.6	13.54	
61	130	loss	947.3821697999999	947.3904662999998	951.8286719	953.8453354999999	4.438205600000174	-0.4	-2	0	top	left	left	gamble	bad	-2.0	11.54	
62	21	mix	959.2819482	959.2893546999999	961.4072907	961.4158364	2.1179360000000997	0	-0.8	0.8	bottom	left	right	safe	bad	0.0	11.54	
63	117	loss	968.6829006	968.6836719999999	970.9184086	970.9254014999999	2.234736600000133	-0.3	-0.95	0	top	right	left	safe	good	-0.3	11.24	
64	115	loss	981.7133818999998	981.7141528	987.4429132999999	987.4475891	5.7287604999999076	-0.3	-0.74	0	top	right	left	safe	good	-0.3	10.94	
65	66	gain	994.3796944999999	994.3864458999999	999.1208522	999.1290526	4.734406300000046	0.3	0	0.84	bottom	left	right	safe	good	0.3	11.24	
66	145	loss	1006.4885555999999	1006.4963416999999	1011.5832441999999	1011.5875914999999	5.086902499999951	-0.6	-1.49	0	top	left	right	safe	good	-0.6	10.64	
67	97	gain	1027.9228388	1027.9302152	1030.6073866	1030.6121725	2.6771713999999065	0.6	0	1.9	top	left	right	safe	good	0.6	11.24	
68	44	mix	1037.6715351	1037.672298	1042.5476425	1042.5551923	4.875344499999983	0	-1.1	1.1	bottom	right	left	safe	good	0.0	11.24	
69	49	mix	1049.8623378	1049.8632074	1053.6085513	1053.6162445	3.74534390000008	0	-1.5	2.25	bottom	right	left	safe	bad	0.0	11.24	
70	138	loss	1069.7333247	1069.7340508999998	1072.1820235999999	1072.1890529	2.4479727000000366	-0.5	-1.8	0	bottom	right	left	safe	bad	-0.5	10.74	
71	70	gain	1079.7067984	1079.7131224	1083.2264214	1083.232802	3.513298999999961	0.3	0	1.5	top	left	right	safe	good	0.3	11.04	
72	3	mix	1089.8023847	1089.8031305	1092.2042546999999	1092.2111851	2.401124199999913	0	-0.3	0.12	top	right	left	safe	good	0.0	11.04	
73	89	gain	1104.6155211999999	1104.62186	1107.1961502	1107.2031663	2.5742901999999503	0.5	0	2.1	top	left	right	safe	bad	0.5	11.54	
74	41	mix	1114.4367215	1114.4450318	1116.5581089	1116.5628092	2.113077100000055	0	-0.8	0.96	bottom	left	right	safe	good	0.0	11.54	
75	9	mix	1123.780601	1123.7813585	1125.7369207	1125.7444561	1.9555622000000312	0	-0.5	0.15	bottom	right	left	safe	bad	0.0	11.54	
76	45	mix	1140.7463237	1211.2344765999999	1212.7065168	1212.7112367	1.4720402000000377	0	-1.1	1.32	top	left	right	safe	good	0.0	11.54	
77	134	loss	1219.4287984	1219.4295639	1222.0019885	1222.0088432	2.5724245999999766	-0.5	-1.11	0	bottom	right	left	safe	bad	-0.5	11.04	
78	58	gain	1228.6546022	1228.6553950999999	1230.8473426	1230.8543367	2.1919475000001967	0.2	0	0.72	bottom	right	left	safe	bad	0.2	11.24	
79	46	mix	1245.89003	1245.8974062	1247.3224992	1247.3295899999998	1.4250930000000608	0	-1.1	1.65	bottom	left	right	safe	bad	0.0	11.24	
80	92	gain	1253.8982512	1253.8989758999999	1255.4680592999998	1255.4750529	1.569083399999954	0.6	0	1.09	top	right	left	safe	good	0.6	11.84	
81	6	mix	1262.4543159999998	1262.4606674	1265.9460784	1267.9621811	3.485411000000113	0	-0.3	0.25	bottom	left	left	gamble	bad	-0.3	11.54	
82	19	mix	1279.0379546	1279.03882	1280.9546017999999	1280.9647161999999	1.915781799999877	0	-0.8	0.53	bottom	right	left	safe	good	0.0	11.54	
83	93	gain	1288.4513898999999	1288.4521347999998	1291.8147709999998	1291.8190439	3.362636199999997	0.6	0	1.2	top	right	left	safe	bad	0.6	12.14	
84	104	loss	1299.2230289	1299.2237883999999	1302.5427637999999	1302.5478689	3.3189753999999994	-0.2	-0.44	0	top	right	left	safe	bad	-0.2	11.94	
85	77	gain	1320.1341046	1320.1349014999998	1322.4487858999998	1322.4542282999998	2.3138844000000063	0.4	0	1.26	top	right	left	safe	bad	0.4	12.34	
86	59	gain	1329.0579160999998	1329.0586399	1331.077941	1333.0943986	2.0193011000001206	0.2	0	0.84	bottom	right	right	gamble	good	0.84	13.18	
87	17	mix	1338.2127345	1338.2135005	1340.9554073	1342.9724855	2.7419067999999243	0	-0.8	0.32	top	right	right	gamble	bad	-0.8	12.38	
88	83	gain	1352.9004430999998	1352.9012507	1354.5989648999998	1356.6157011	1.6977141999998366	0.5	0	1	bottom	right	right	gamble	good	1.0	13.38	
89	32	mix	1362.1113275	1362.1177318999999	1364.9267639999998	1364.9338527999998	2.8090320999999676	0	-1.5	0.99	top	left	right	safe	bad	0.0	13.38	
90	106	loss	1371.8296344	1371.8727235	1374.1221283	1374.1300784999999	2.249404800000093	-0.2	-0.56	0	bottom	left	right	safe	good	-0.2	13.18	
91	48	mix	1390.1808546	1390.1816007999998	1392.411654	1392.419969	2.2300532000001567	0	-1.5	1.8	bottom	right	left	safe	good	0.0	13.18	
92	111	loss	1399.2167256999999	1399.2242867999998	1401.8406552	1401.8482513	2.6163684000000558	-0.3	-0.5	0	top	left	right	safe	good	-0.3	12.88	
93	149	loss	1409.3423424	1409.3430965	1413.1181703	1415.1342438	3.775073799999973	-0.6	-2.52	0	bottom	right	right	gamble	good	0.0	12.88	
94	120	loss	1429.0763306	1429.080444	1433.5072244	1433.5150978	4.426780400000098	-0.3	-1.5	0	top	left	right	safe	good	-0.3	12.58	
95	33	mix	1440.4263836	1440.4271517	1442.1690624999999	1442.176045	1.7419107999999142	0	-1.5	1.23	bottom	right	left	safe	bad	0.0	12.58	
96	150	loss	1449.1403954	1449.1457702999999	1452.3960769	1454.4134424	3.250306600000158	-0.6	-3	0	top	left	left	gamble	good	0.0	12.58	
97	125	loss	1468.6538848	1468.6618944	1471.4371185999998	1471.4441141999998	2.7752241999999114	-0.4	-0.99	0	top	left	right	safe	bad	-0.4	12.18	
98	69	gain	1478.3242922	1478.3250131	1484.7626292999998	1486.7795812	6.437616199999866	0.3	0	1.26	bottom	right	right	gamble	bad	0.0	12.18	
99	135	loss	1491.9307041	1491.9400111999998	1495.1412231	1497.1573603	3.2012119000000894	-0.5	-1.24	0	top	left	left	gamble	good	0.0	12.18	
