Round	Rating	RatingOnset	RT	
1	32	251.70856019994244	14.051593100186437	
4	54	406.9142173998989	7.0508424998261034	
7	50	449.8222914999351	3.12141350004822	
10	53	481.61521850014105	6.993730699643493	
13	54	517.6948901996948	4.096279300283641	
16	56	553.4922496001236	8.261198399588466	
19	44	593.3682677000761	4.699426699895412	
22	54	626.1153192999773	5.3513902998529375	
25	44	661.7365019000135	4.061257699970156	
28	50	696.9341796999797	3.5790737001225352	
31	53	735.5673696999438	5.124858099967241	
34	56	769.211566099897	5.845745100174099	
37	50	807.4982555997558	2.7063567000441253	
40	56	840.9119187998585	4.707902899943292	
43	54	878.5737481997348	4.5430729002691805	
46	57	916.1481292000972	3.649188299663365	
49	53	948.9117920999415	6.8832260998897254	
52	45	985.893856599927	6.281789199914783	
55	53	1024.9930412997492	5.445879500359297	
58	45	1063.1856585997157	6.78225120017305	
61	50	1101.8147991998121	2.3842410002835095	
64	54	1134.3475516997278	4.916839700192213	
67	55	1169.624597699847	6.169928399845958	
70	53	1207.7620410998352	6.596063400153071	
73	50	1249.1987032997422	2.4732452002353966	
76	56	1286.1852116999216	3.6328702000901103	
79	50	1327.519704000093	2.759606000036001	
82	57	1365.441465599928	3.3175944997929037	
85	50	1397.014429999981	2.694370999932289	
88	43	1429.2714136997238	5.402677800040692	
91	59	1463.6379025997594	5.793338099960238	
94	53	1496.516493699979	3.973651200067252	
97	52	1532.285698799882	5.301371000241488	
100	50	1567.4908631998114	2.362358700018376	
103	45	1602.8441272000782	3.5391488997265697	
106	43	1638.9055582000874	3.7753355000168085	
109	50	1671.0203172001056	2.777994900010526	
112	54	1703.4471827996895	5.482437400147319	
115	53	1740.4500416996889	6.608931000344455	
118	50	1779.9548394000158	3.0355688999406993	
121	54	1817.0562142999843	6.729412300046533	
124	54	1853.5236223000102	5.4428141000680625	
127	50	1894.2221686998382	4.373205400072038	
130	50	1927.7263210001402	3.152597399894148	
133	54	1962.4417491001077	3.484682099893689	
136	56	1999.9813443999738	4.058925199788064	
139	58	2032.9253142001107	3.4804123998619616	
142	56	2066.410593799781	3.4485010001808405	
145	45	2104.0786512997	6.371895300224423	
148	56	2140.687135899905	3.995361799839884	
151	57	2175.8073533000425	3.4669498996809125	

Start Time: 15:08:41
End Time: 15:45:01
