TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,Win_3.stopped,WinMsg_2.stopped,exitText.started,exitText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-0.3,0.12,bottom,right,1.3,1,0,0,0,2,,,,,,,,,,,,,15.47371399999247,1.5375000657513738e-05,16.75048029201571,5.9582991525530815e-05,17.560691916994983,17.560691916994983,0.015150584018556401,right,0.7774775419966318,-0.6377314814814815,0.5335648148148148,0,0,0,18.383116209006403,18.383116209006403,20.39561145901098,20.39561145901098,22.395027291990118,23.710322500002803,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.4,0.0,1.26,top,right,1.07,0,0,1,1,76,,,,,,,,,,,,,,,,,23.710322500002803,23.710322500002803,0.019111708010314032,right,0.5757177920022514,-0.6377314814814815,0.5335648148148148,0,0,0,24.315889999998035,24.315889999998035,26.323635292006657,26.323635292006657,28.31133354199119,29.399104125011945,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.6,0.0,1.2,top,right,1.86,0,0,2,2,92,,,,,,,,,,,,,,,,,29.399104125011945,29.399104125011945,0.0071949579869396985,right,0.40150329199968837,-0.6377314814814815,0.5335648148148148,0,0,0,29.830843417003052,29.830843417003052,31.83555512499879,31.83555512499879,36.76926575001562,38.64983999999822,33.83654145899345,33.83654145899345,33.83654145899345,36.55742129200371,36.55742129200371,2.2291666666666665,2.6989917079918087,space,0.19983941700775176,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.8,0.96,top,left,1.68,0,0,3,3,40,,,,,,,,,,,,,,,,,38.64983999999822,38.64983999999822,0.012841374991694465,left,0.9418205839756411,-0.36342592592592593,-0.19560185185185186,0,0,0,39.627760000003036,39.627760000003036,41.645787125016795,41.645787125016795,43.640744000003906,45.33612379201804,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.4,-0.73,0.0,bottom,left,1.44,0,0,4,4,121,,,,,,,,,,,,,,,,,45.33612379201804,45.33612379201804,0.014214208000339568,right,1.0015087499923538,-0.36342592592592593,-0.19560185185185186,0,0,0,46.364229625003645,46.364229625003645,48.382400000002235,48.382400000002235,50.362522834009724,51.80376120901201,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.4,-1.68,0.0,top,right,1.1,0,0,5,5,128,,,,,,,,,,,,,,,,,51.80376120901201,51.80376120901201,0.0075080829847138375,right,0.4424067079962697,-0.36342592592592593,-0.19560185185185186,0,0,0,52.26600070900167,52.26600070900167,54.28604970901506,54.28604970901506,60.019320958992466,61.133031042001676,56.282355667004595,56.282355667004595,56.282355667004595,59.373927625012584,59.373927625012584,4.46875,3.083208750002086,space,0.6282386659877375,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.2,0.0,0.5,bottom,left,1.19,1,0,6,6,54,,,,,,,,,,,,,,,,,61.133031042001676,61.133031042001676,0.013203375012381002,right,0.768511041009333,-0.2013888888888889,-0.07060185185185185,0,0,0,61.92968800000381,61.92968800000381,63.93623791699065,63.93623791699065,65.93235375001677,67.13291504199151,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.5,0.15,bottom,right,1.0,0,0,7,7,8,,,,,,,,,,,,,,,,,67.13291504199151,67.13291504199151,0.012232542008860037,right,0.3113415419938974,-0.2013888888888889,-0.07060185185185185,0,0,0,67.46621195899206,67.46621195899206,69.47004050001851,69.47004050001851,71.47377091701492,72.47858133399859,,,,,,,,,,69.47004050001851,69.47004050001851,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-1.5,0.78,top,left,1.22,0,0,8,8,30,,,,,,,,,,,,,,,,,72.47858133399859,72.47858133399859,0.009972458996344358,right,0.35584616698906757,-0.2013888888888889,-0.07060185185185185,0,0,0,72.86249841700192,72.86249841700192,74.86346437499742,74.86346437499742,79.88626050000312,81.11280416700174,76.86852970899781,76.86852970899781,76.86852970899781,79.3739730840025,79.3739730840025,8.458333333333334,2.4833994589862414,space,0.49417395901400596,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.2,-0.63,0.0,top,left,1.73,1,0,9,9,106,,,,,,,,,,,,,,,,,81.11280416700174,81.11280416700174,0.009659667004598305,right,0.5069802920043003,0.3287037037037037,-0.2025462962962963,0,0,0,81.64930658400408,81.64930658400408,83.65300908399513,83.65300908399513,85.6571573340043,87.40842554200208,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
