TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.clicked_name,Keys.keys,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,timeoutText.started,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.5,-1.8,0.0,bottom,right,1.97,0,0,0,0,137,,,,,,,,,,,,,13.719492099946365,0.029139099875465035,13.719492099946365,0.4212962962962963,-0.07407407407407407,1,0,0,RightHalf,None,15.599598000058904,15.599598000058904,17.633228699909523,17.633228699909523,19.60103669995442,21.601474300026894,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
mix,0.0,-1.1,2.2,bottom,left,1.76,1,0,1,1,46,,,,,,,,,,,,,21.601474300026894,0.008241199888288975,21.601474300026894,-0.05787037037037037,-0.04976851851851852,1,0,0,LeftHalf,None,22.302313100080937,22.302313100080937,24.319291400024667,24.319291400024667,26.303501500049606,28.087236399995163,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
loss,-0.5,-1.24,0.0,top,left,1.88,0,0,2,2,134,,,,,,,,,,,,,28.087236399995163,0.012375999940559268,28.087236399995163,-0.1597222222222222,-0.04282407407407408,1,0,0,LeftHalf,None,28.971040699863806,28.971040699863806,30.988397599896416,30.988397599896416,35.77367979986593,37.674567699898034,33.02142239990644,33.02142239990644,33.02142239990644,33.98879490001127,33.98879490001127,3.3125,2.2325706998817623,space,1.7413566999603063,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
gain,0.4,0.0,0.73,bottom,left,1.76,0,0,3,3,71,,,,,,,,,,,,,37.674567699898034,0.01245000003837049,37.674567699898034,-0.17708333333333334,-0.059027777777777776,1,0,0,LeftHalf,None,41.02622919995338,41.02622919995338,43.04320969991386,43.04320969991386,45.027476199902594,46.811306699877605,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
loss,-0.2,-0.36,0.0,top,right,1.04,0,0,4,4,101,,,,,,,,,,,,,46.811306699877605,0.011631399858742952,46.811306699877605,0.33912037037037035,-0.06712962962962964,1,0,0,RightHalf,None,47.978162799961865,47.978162799961865,49.995709100039676,49.995709100039676,51.97984190005809,53.04702190007083,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
gain,0.2,0.0,0.5,bottom,left,1.19,1,0,5,5,54,,,,,,,,,,,,,53.04702190007083,0.009327900130301714,53.04702190007083,-0.2025462962962963,-0.03819444444444445,1,0,0,LeftHalf,None,53.963863499928266,53.963863499928266,55.9814567998983,55.9814567998983,60.599842600058764,61.81711409986019,57.981234800070524,57.981234800070524,57.981234800070524,58.98148550000042,58.98148550000042,1.6979166666666665,2.331605799961835,space,1.5807914000470191,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
mix,0.0,-0.3,0.6,top,left,1.06,0,0,6,6,36,,,,,,,,,,,,,61.81711409986019,0.00758139998652041,61.81711409986019,-0.16435185185185186,0.04861111111111111,1,0,0,LeftHalf,None,62.50066219992004,62.50066219992004,64.51788529986516,64.51788529986516,66.50220529991202,67.58564920001663,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
loss,-0.5,-0.91,0.0,top,left,1.0,0,0,7,7,131,,,,,,,,,,,,,67.58564920001663,0.010413500014692545,67.58564920001663,-0.1284722222222222,0.08333333333333333,1,0,0,LeftHalf,None,68.05269579985179,68.05269579985179,70.07007619994693,70.07007619994693,72.05424680002034,73.07159100007266,,,,,,,,,,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
loss,-0.3,-1.5,0.0,bottom,left,1.37,0,0,8,8,119,,,,,,,,,,,,,73.07159100007266,0.007476300001144409,73.07159100007266,0.14583333333333334,0.1875,1,0,0,RightHalf,None,74.43856859998778,74.43856859998778,76.45582779985853,76.45582779985853,81.20757029997185,82.59278329997323,78.45562279992737,78.45562279992737,78.45562279992737,79.95620659994893,79.95620659994893,6.635416666666667,1.4642801000736654,space,1.2293492001481354,,,001,2022-12-12_15h22.18.270,SWB_debug,2022.2.4,60.07900389019618,
,,,,,,,,,,,,,,,,,,,,,,,,82.59278329997323,0.0049980999901890755,82.59278329997323,0.05439814814814815,-0.16898148148148148,0,0,0,,None,,,,,,,,,,,,,,,,90.59521349985152,,,,,,,
