TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-1.1,1.65,bottom,left,1.04,0,0,0,0,45,,,,,,,,,,,,,29.726678499999252,34.82118750000154,0.06428959999902872,34.82118750000154,0.4201388888888889,-0.06018518518518518,0,0,0,right,1.4473299000019324,36.3893805000007,36.3893805000007,38.4698298000003,38.4698298000003,40.32268639999893,41.40267269999822,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
mix,0.0,-1.1,0.44,bottom,right,1.19,0,0,1,1,23,,,,,,,,,,,,,,41.40267269999822,0.013912700000219047,41.40267269999822,0.4201388888888889,-0.06018518518518518,0,0,0,left,0.9297743999995873,42.407824199999595,42.407824199999595,44.441512900000816,44.441512900000816,46.38673410000047,47.60867270000017,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.36,top,left,1.24,0,0,2,2,34,,,,,,,,,,,,,,47.60867270000017,0.017630099999223603,47.60867270000017,0.4201388888888889,-0.06018518518518518,0,0,0,right,0.5966356999997515,48.276005100000475,48.276005100000475,50.29247889999897,50.29247889999897,55.44592139999804,56.72910140000022,52.39322750000065,52.39322750000065,52.39322750000065,54.72724519999974,54.72724519999974,4.041666666666666,2.3650237999972887,space,0.6368541000010737,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
gain,0.3,0.0,0.67,top,left,1.09,0,0,3,3,63,,,,,,,,,,,,,,56.72910140000022,0.021503100000700215,56.72910140000022,-0.16203703703703703,-0.23032407407407407,0,0,0,right,0.386529999999766,57.21224019999863,57.21224019999863,59.229672599998594,59.229672599998594,61.16547279999941,62.29891349999889,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
loss,-0.4,-0.89,0.0,bottom,right,1.47,0,0,4,4,123,,,,,,,,,,,,,,62.29891349999889,0.02919389999806299,62.29891349999889,-0.16203703703703703,-0.23032407407407407,0,0,0,left,0.449232300001313,62.83142999999836,62.83142999999836,64.83154400000058,64.83154400000058,66.80086640000081,68.31760819999909,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
loss,-0.6,-1.49,0.0,bottom,left,1.56,0,0,5,5,144,,,,,,,,,,,,,,68.31760819999909,0.027165100000274833,68.31760819999909,-0.16203703703703703,-0.23032407407407407,0,0,0,right,0.5442691999996896,68.96108259999892,68.96108259999892,70.95104699999865,70.95104699999865,75.63402249999854,77.25282639999932,72.98559119999845,72.98559119999845,72.98559119999845,75.05194159999883,75.05194159999883,5.645833333333334,2.0311406000000716,space,0.5044431000023906,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
gain,0.4,0.0,0.67,bottom,left,1.22,0,0,6,6,70,,,,,,,,,,,,,,77.25282639999932,0.03412430000025779,77.25282639999932,0.016203703703703703,-0.21296296296296297,0,0,0,right,0.856055500000366,78.20372289999796,78.20372289999796,80.22148580000066,80.22148580000066,82.15015380000114,83.40629519999857,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
loss,-0.2,-0.72,0.0,bottom,right,1.49,0,0,7,7,107,,,,,,,,,,,,,,83.40629519999857,0.018263999998453073,83.40629519999857,0.016203703703703703,-0.21296296296296297,0,0,0,left,0.565861600000062,84.05618169999798,84.05618169999798,86.07337710000138,86.07337710000138,88.00877899999978,89.56953530000101,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
gain,0.4,0.0,0.73,bottom,left,1.76,0,0,8,8,71,,,,,,,,,,,,,,89.56953530000101,0.03835079999771551,89.56953530000101,0.016203703703703703,-0.21296296296296297,0,0,0,right,0.6031581999995979,90.27580189999935,90.27580189999935,92.30875229999947,92.30875229999947,96.2945209999998,98.09520359999806,94.28617600000143,94.28617600000143,94.28617600000143,95.69294340000124,95.69294340000124,5.645833333333334,1.3324360999977216,space,0.510972000000038,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
loss,-0.2,-0.84,0.0,bottom,right,1.69,0,0,9,9,108,,,,,,,,,,,,,,98.09520359999806,0.01400659999853815,98.09520359999806,0.016203703703703703,-0.21296296296296297,0,0,0,left,0.5973244000015256,98.76266419999956,98.76266419999956,100.77931009999884,100.77931009999884,102.74757699999827,104.47570819999964,,,,,,,,,,,001,2022-12-15_15h04.24.273,SWB_debug,2022.2.4,None,
