Round	Rating	RatingOnset	RT	
1	63	1001.5401169999968	28.81523350000498	
4	50	1185.375560399989	2.696315200009849	
7	50	1218.7366857999878	1.901875999988988	
10	50	1254.0786038999795	2.1237759000214282	
13	50	1288.5640810999903	2.7370981999847572	
16	50	1325.5375200999842	2.4610627999936696	
19	50	1359.4729942999838	2.5242574000149034	
22	50	1396.6090099999856	1.5022955000167713	
25	50	1430.9998815	1.6923601999878883	
28	50	1466.4000964000006	2.1404749999928754	
31	50	1500.314664799982	2.091519400011748	
34	50	1530.3509473000013	1.8894456999842077	
37	50	1567.3554794999945	1.7320942000078503	
40	61	1603.1530142999836	13.043016200012062	
43	66	1648.3453019000008	7.079212999989977	
46	87	1689.4986874999886	9.41972999999416	
49	62	1735.2914830999798	6.638141600007657	
52	66	1774.105454399978	6.6868757000193	
55	61	1812.247479499987	6.557130900007905	
58	60	1848.184761899989	6.450969299999997	
61	57	1887.5199754999776	4.312669400009327	
64	57	1923.0644930999842	4.199544200004311	
67	59	1959.834690299991	4.393856300011976	
70	50	1995.6008204999962	3.9250902000057977	
73	56	2032.6145869999891	5.4241734000097495	
76	50	2071.178876699996	2.9573893999913707	
79	50	2131.027482399979	1.6946046000230126	
82	50	2164.5135822999873	1.6407018000027165	
85	50	2197.4393047999765	1.5641931999998633	
88	56	2229.5860977999982	3.8332405999826733	
91	50	2268.4010519000003	1.648369599977741	
94	50	2302.8779570999905	1.9869769999932032	
97	50	2335.6987772999855	1.0658744999964256	
100	71	2374.670285799977	4.138879600010114	
103	79	2408.7008235999965	6.222561100003077	
106	61	2447.6636281999818	3.6232493999996223	
109	71	2478.7192030999868	5.400887700001476	
112	70	2516.9265272999764	5.0736642999982	
115	50	2555.7306759999774	2.0671077000151854	
118	59	2590.4360672999755	4.208860900020227	
121	57	2625.023209499981	5.202362800016999	
124	57	2664.667508399987	4.654509499989217	
127	62	2707.1105236999865	4.505091400002129	
130	61	2743.1044710999995	5.4258499999996275	
133	68	2782.566479699977	8.456826100009494	
136	56	2823.5334721999825	3.222112300019944	
139	56	2862.930902699998	4.0860458999814	
142	56	2901.378898199997	17.443819399981294	
145	60	2954.9871559999883	4.448305900004925	
148	54	2993.7562126999837	2.9261187000083737	
151	56	3029.2364417999925	3.775887199997669	

Start Time: 16:03:36
End Time: 16:54:10
