Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	8	mix	1506.3870048001409	1506.389868600294	1509.9341749995947	1509.9418997997418	3.5443063993006945	0	-0.5	0.1	bottom	right	left	safe	bad	0.0	10.0	
2	101	loss	1516.7567334994674	1516.7657602000982	1521.5285849999636	1523.5447669997811	4.762824799865484	-0.2	-0.34	0	bottom	left	left	gamble	bad	-0.34	9.66	
3	3	mix	1529.063686300069	1529.0645845001563	1530.3092887001112	1532.3229654002935	1.2447041999548674	0	-0.3	0.12	top	right	right	gamble	bad	-0.3	9.36	
4	70	gain	1541.8337848996744	1541.8399871997535	1544.4497151998803	1544.4584532994777	2.609728000126779	0.3	0	1.5	top	left	right	safe	good	0.3	9.66	
5	102	loss	1551.0510144000873	1551.0518988994882	1553.928036100231	1555.9445569999516	2.87613720074296	-0.2	-0.36	0	top	right	right	gamble	good	0.0	9.66	
6	61	gain	1559.9981450997293	1560.0016542002559	1562.6233866997063	1562.6305272998288	2.621732499450445	0.3	0	0.5	top	left	right	safe	good	0.3	9.96	
7	113	loss	1576.8333016000688	1576.8341423003003	1581.480166199617	1583.4957926999778	4.646023899316788	-0.3	-0.6	0	bottom	right	right	gamble	good	0.0	9.96	
8	99	gain	1588.0218299003318	1588.0227370001376	1590.741848600097	1590.749754499644	2.719111599959433	0.6	0	2.52	bottom	right	left	safe	bad	0.6	10.56	
9	97	gain	1597.3356593996286	1597.3428683998063	1600.171224700287	1602.1864758003503	2.8283563004806638	0.6	0	1.9	top	left	left	gamble	bad	0.0	10.56	
10	94	gain	1611.1148512996733	1611.1156689999625	1613.8458011997864	1615.8619996001944	2.7301321998238564	0.6	0	1.33	bottom	right	right	gamble	bad	0.0	10.56	
11	44	mix	1621.2169826999307	1621.2184616997838	1623.4073716001585	1625.4234635997564	2.1889099003747106	0	-1.1	1.1	bottom	right	right	gamble	bad	-1.1	9.46	
12	11	mix	1630.7135642003268	1630.7226056000218	1637.8337191995233	1639.8500346001238	7.11111359950155	0	-0.5	0.26	top	left	left	gamble	bad	-0.5	8.96	
13	1	mix	1649.8614956997335	1649.8681969000027	1651.5922641996294	1653.6092526996508	1.7240672996267676	0	-0.3	0.06	bottom	left	left	gamble	bad	-0.3	8.66	
14	137	loss	1658.275497599505	1658.2882417002693	1660.1717982003465	1660.1793814999983	1.8835565000772476	-0.5	-1.58	0	bottom	left	right	safe	good	-0.5	8.16	
15	47	mix	1667.0175721002743	1667.0592023003846	1670.1997833997011	1670.2076230002567	3.1405810993164778	0	-1.1	2.2	top	left	right	safe	good	0.0	8.16	
16	17	mix	1680.6110244002193	1680.6119261998683	1684.0419014999643	1684.046413199976	3.4299753000959754	0	-0.8	0.32	top	right	left	safe	good	0.0	8.16	
17	32	mix	1691.5369613002986	1691.5443572001532	1694.802951700054	1696.819055300206	3.258594499900937	0	-1.5	0.99	top	left	left	gamble	good	0.99	9.15	
18	88	gain	1701.7100820001215	1701.7109546000138	1704.4149703998119	1704.4224717998877	2.7040157997980714	0.5	0	1.8	bottom	right	left	safe	bad	0.5	9.65	
19	64	gain	1717.191196899861	1717.1998026994988	1719.1072429995984	1719.1152234002948	1.9074403000995517	0.3	0	0.67	top	left	right	safe	bad	0.3	9.95	
20	10	mix	1725.7577099995688	1725.7660386003554	1730.1842233994976	1732.2008831994608	4.418184799142182	0	-0.5	0.2	top	left	left	gamble	good	0.2	10.15	
21	118	loss	1737.1103783994913	1737.1112642996013	1742.7608684999868	1744.777725099586	5.649604200385511	-0.3	-1.08	0	top	right	right	gamble	good	0.0	10.15	
22	69	gain	1755.0717247994617	1755.0726172002032	1758.6199155999348	1760.635678799823	3.547298399731517	0.3	0	1.26	bottom	right	right	gamble	bad	0.0	10.15	
23	104	loss	1765.7900694999844	1765.7909634998068	1770.8295008996502	1772.8456060001627	5.038537399843335	-0.2	-0.44	0	top	right	right	gamble	good	0.0	10.15	
24	107	loss	1777.0419391002506	1777.0509510999545	1781.4742877995595	1783.4898442998528	4.423336699604988	-0.2	-0.63	0	top	left	left	gamble	good	0.0	10.15	
25	105	loss	1795.316987999715	1795.32181819994	1797.7317637000233	1797.7397806001827	2.4099455000832677	-0.2	-0.5	0	top	left	right	safe	good	-0.2	9.95	
26	150	loss	1804.522531799972	1804.5290128998458	1807.0600805999711	1807.0674646003172	2.531067700125277	-0.6	-3	0	top	left	right	safe	bad	-0.6	9.35	
27	37	mix	1814.4198000002652	1814.428573800251	1816.1725768996403	1818.1886847997084	1.7440030993893743	0	-0.3	0.6	bottom	left	left	gamble	bad	-0.3	9.05	
28	4	mix	1828.1157272998244	1828.1166465999559	1830.5168850999326	1832.5304156001657	2.4002384999766946	0	-0.3	0.16	top	right	right	gamble	good	0.16	9.21	
29	95	gain	1836.5598315000534	1836.569130900316	1838.5441442998126	1838.5514938002452	1.9750133994966745	0.6	0	1.49	top	left	right	safe	good	0.6	9.81	
30	71	gain	1845.967753299512	1845.9766868995503	1848.1717389998958	1848.179839800112	2.1950521003454924	0.4	0	0.67	bottom	left	right	safe	bad	0.4	10.21	
31	74	gain	1858.2005286002532	1858.2013739999384	1860.5814384995028	1862.59834869951	2.380064499564469	0.4	0	0.89	bottom	right	right	gamble	good	0.89	11.1	
32	135	loss	1867.1369286002591	1867.145252299495	1870.8103737002239	1870.8175590001047	3.6651214007288218	-0.5	-1.24	0	top	left	right	safe	bad	-0.5	10.6	
33	110	loss	1878.2539617996663	1878.2604890000075	1880.638443400152	1880.646304300055	2.3779544001445174	-0.2	-1	0	top	left	right	safe	bad	-0.2	10.4	
34	25	mix	1894.281652899459	1894.2901809001341	1897.5623006001115	1899.579105399549	3.2721196999773383	0	-1.1	0.57	top	left	left	gamble	good	0.57	10.97	
35	103	loss	1904.7382378000766	1904.7391195995733	1907.706425299868	1907.7109390003607	2.9673057002946734	-0.2	-0.4	0	top	right	left	safe	good	-0.2	10.77	
36	140	loss	1914.789641899988	1914.7905316995457	1917.185780200176	1917.193689899519	2.3952485006302595	-0.5	-2.5	0	top	right	left	safe	good	-0.5	10.27	
