Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	104	loss	364.0120023000002	364.01459410000007	366.82299820000003	368.83938030000013	2.8084040999999615	-0.2	-0.44	0	top	right	right	gamble	good	0.0	10.0	
2	147	loss	373.04275370000005	373.05480490000014	375.75100470000007	377.7679435	2.696199799999931	-0.6	-1.9	0	top	left	left	gamble	bad	-1.9	8.1	
3	79	gain	382.67653740000014	382.67736590000004	384.84689320000007	384.8543912	2.169527300000027	0.4	0	1.68	top	right	left	safe	bad	0.4	8.5	
4	21	mix	401.2382014	401.2451530000001	404.2695530000001	404.2771905000002	3.024400000000014	0	-0.8	0.8	bottom	left	right	safe	bad	0.0	8.5	
5	100	gain	411.5393586	411.5456494	413.88108920000013	415.8966686000001	2.335439800000131	0.6	0	3	top	left	left	gamble	good	3.0	11.5	
6	142	loss	421.3627243000001	421.36374380000007	424.4421727000001	426.4589566000002	3.0784289000000626	-0.6	-1.09	0	top	right	right	gamble	bad	-1.09	10.41	
7	102	loss	440.8662367000002	440.86710400000015	443.63234380000017	443.6393340000002	2.7652398000000176	-0.2	-0.36	0	top	right	left	safe	bad	-0.2	10.21	
8	19	mix	450.2433702000001	450.24421970000003	453.2272425000001	455.2426352	2.9830228000000716	0	-0.8	0.53	bottom	right	right	gamble	bad	-0.8	9.41	
9	114	loss	460.6995276	460.7073994	463.83794680000005	465.8536325	3.1305474000000686	-0.3	-0.67	0	top	left	left	gamble	good	0.0	9.41	
10	71	gain	479.81230419999997	479.8183905000001	482.24470570000017	482.24886620000007	2.42631520000009	0.4	0	0.67	bottom	left	right	safe	bad	0.4	9.81	
11	56	gain	489.0129449000001	489.01877850000005	491.55705090000015	493.57294990000014	2.5382724000000962	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	9.81	
12	80	gain	499.00598560000003	499.01283480000006	501.88501040000006	503.90076220000014	2.8721755999999914	0.4	0	2	top	left	left	gamble	bad	0.0	9.81	
13	113	loss	520.8424644000002	520.8431928	522.57402	524.5892401000001	1.7308272000000215	-0.3	-0.6	0	bottom	right	right	gamble	good	0.0	9.81	
14	64	gain	529.1162044	529.1221616	531.1860797000002	531.1929986	2.063918100000137	0.3	0	0.67	top	left	right	safe	bad	0.3	10.11	
15	129	loss	537.8286392	537.8298762000002	539.3319242	539.3395406000002	1.5020479999998315	-0.4	-1.68	0	top	right	left	safe	bad	-0.4	9.71	
16	128	loss	555.0909590000001	555.0916949	557.7884033	559.8050626000002	2.696708400000034	-0.4	-1.44	0	top	right	right	gamble	bad	-1.44	8.27	
17	134	loss	565.2909960000002	565.2917153000001	566.9671899	566.9741219	1.6754745999999159	-0.5	-1.11	0	bottom	right	left	safe	bad	-0.5	7.77	
18	10	mix	573.6167302000001	573.6237663000002	575.1129872000001	577.1288295000002	1.4892208999999639	0	-0.5	0.2	top	left	left	gamble	good	0.2	7.97	
19	67	gain	591.0219511	591.0227133000001	593.5032042	595.5195633000001	2.4804908999999498	0.3	0	0.95	top	right	right	gamble	bad	0.0	7.97	
20	45	mix	600.6912409000001	600.6981334000002	602.5978827000001	604.6143218	1.8997492999999395	0	-1.1	1.32	top	left	left	gamble	bad	-1.1	6.87	
21	112	loss	609.3220517	609.3293944000002	611.1767327	613.1932975	1.8473382999998194	-0.3	-0.55	0	bottom	left	left	gamble	bad	-0.55	6.32	
22	76	gain	626.7353115000001	626.7443873	628.7508380000002	628.7583223000001	2.0064507000001868	0.4	0	1.12	bottom	left	right	safe	good	0.4	6.72	
23	48	mix	635.7306532	635.7314018000002	637.8298635000001	637.837299	2.098461699999916	0	-1.5	1.8	bottom	right	left	safe	good	0.0	6.72	
24	18	mix	644.6292920000001	644.6300408000002	646.7246171000002	646.7321065000001	2.0945762999999715	0	-0.8	0.42	top	right	left	safe	bad	0.0	6.72	
25	8	mix	663.3658156000001	663.3665783000001	665.9481824000002	667.9646438	2.5816041000000496	0	-0.5	0.1	bottom	right	right	gamble	good	0.1	6.82	
26	58	gain	672.7406376000001	672.7413888000001	675.1267841000001	677.1430642	2.3853953000000274	0.2	0	0.72	bottom	right	right	gamble	good	0.72	7.54	
27	5	mix	682.3698055	682.3775547	684.6717521	684.6791337000002	2.29419740000003	0	-0.3	0.2	top	left	right	safe	good	0.0	7.54	
28	98	gain	701.1137988	701.1145261000001	703.99487	706.0106662000001	2.8803438999998434	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	7.54	
29	139	loss	710.5939740000001	710.6018704	713.7231121	713.7312685000002	3.1212416999999277	-0.5	-2.1	0	top	left	right	safe	bad	-0.5	7.04	
30	38	mix	720.9081118000001	720.9088495000001	722.1178976000001	724.1340224	1.2090481000000182	0	-0.5	0.6	bottom	right	right	gamble	good	0.6	7.64	
31	14	mix	738.3099149000002	738.3181465	741.2767882	743.2904234	2.958641700000044	0	-0.5	0.5	top	left	left	gamble	good	0.5	8.14	
32	11	mix	747.8366432	747.8405898000001	750.0039390000002	752.0189926	2.1633492000000842	0	-0.5	0.26	top	left	left	gamble	bad	-0.5	7.64	
33	30	mix	756.8762615	756.8826705000001	758.5489035	760.5655791000001	1.6662329999999201	0	-1.5	0.6	top	left	left	gamble	bad	-1.5	6.14	
34	36	mix	774.5072757	774.5135250999999	778.6882244999999	780.7045153000001	4.174699400000009	0	-0.3	0.45	top	left	left	gamble	bad	-0.3	5.84	
35	1	mix	785.6196387000002	785.6253140000001	787.5839882000002	789.5999242	1.9586742000001323	0	-0.3	0.06	bottom	left	left	gamble	bad	-0.3	5.54	
36	116	loss	794.2592043000002	794.2668375999999	797.2789892000003	799.2951178999999	3.0121516000003794	-0.3	-0.84	0	bottom	left	left	gamble	bad	-0.84	4.7	
37	87	gain	813.4528244999999	813.4609186	816.3682041	816.3758562	2.9072854999999436	0.5	0	1.58	bottom	left	right	safe	good	0.5	5.2	
38	120	loss	823.3676312999999	823.3743109	825.5970199000001	827.6135194000001	2.2227090000001226	-0.3	-1.5	0	top	left	left	gamble	bad	-1.5	3.7	
39	74	gain	832.5005042999999	832.5012125999999	834.4582493999999	834.4628847000001	1.957036799999969	0.4	0	0.89	bottom	right	left	safe	bad	0.4	4.1	
40	123	loss	850.1336423999999	850.1344526999999	852.7655839000001	854.7824249000003	2.6311312000002545	-0.4	-0.8	0	bottom	right	right	gamble	bad	-0.8	3.3	
41	148	loss	859.6898109000001	859.6905705000001	862.3105815000001	864.3273943000002	2.6200109999999768	-0.6	-2.16	0	bottom	right	right	gamble	bad	-2.16	1.14	
42	25	mix	869.3359714000001	869.3439156000002	871.7728688	873.7889743000003	2.428953199999796	0	-1.1	0.57	top	left	left	gamble	good	0.57	1.71	
43	146	loss	888.1630852000001	888.1710976000002	891.1458812000003	891.1512711000003	2.974783600000137	-0.6	-1.68	0	bottom	left	right	safe	bad	-0.6	1.11	
44	83	gain	897.7825343000002	897.7833176000001	900.1406539000002	900.1479363000001	2.3573363000000427	0.5	0	1	bottom	right	left	safe	bad	0.5	1.61	
45	92	gain	907.6781954	907.6789421999999	910.2357370000002	910.2432188999999	2.5567948000002616	0.6	0	1.09	top	right	left	safe	good	0.6	2.21	
46	28	mix	927.4756144999999	927.4763690000002	933.0237116000001	935.0399939000001	5.547342599999865	0	-1.5	0.3	top	right	right	gamble	bad	-1.5	0.71	
47	149	loss	939.7064723999999	939.7072322000001	942.2521911000001	942.2596939000002	2.5449588999999833	-0.6	-2.52	0	bottom	right	left	safe	bad	-0.6	0.11	
48	121	loss	949.5389963999999	949.5452353000003	951.6805876000001	951.6879293	2.135352299999795	-0.4	-0.67	0	bottom	left	right	safe	bad	-0.4	-0.29	
49	51	gain	967.6727991999999	967.6799573999999	970.5372623999999	972.5524757000001	2.8573049999999967	0.2	0	0.34	bottom	left	left	gamble	bad	0.0	-0.29	
50	140	loss	978.0041547000003	978.0051748000003	981.3144034	983.3309105000001	3.309228599999642	-0.5	-2.5	0	top	right	right	gamble	bad	-2.5	-2.79	
51	135	loss	988.0984918000001	988.1053485	990.2268738999999	992.2421648000002	2.121525399999882	-0.5	-1.24	0	top	left	left	gamble	good	0.0	-2.79	
52	141	loss	1007.5666914999999	1007.5746864999999	1009.9490378000003	1011.9660651000002	2.3743513000003986	-0.6	-1.01	0	bottom	left	left	gamble	bad	-1.01	-3.8	
