Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	127	loss	417.486692605773	417.4892939075362	423.0249060735805	423.0314979040413	5.535612166044302	-0.4	-1.26	0	top	right	left	safe	bad	-0.4	9.6	
2	146	loss	429.6373428287916	429.648157294665	439.61941463372204	0	0	-0.6	-1.68	0	bottom	left	left	safe	NaN	0	9.6	
3	33	mix	441.8374648896279	441.83824244706193	445.2316397622344	447.24818282638444	3.3933973151724786	0	-1.5	1.23	bottom	right	right	gamble	good	1.23	10.83	
4	26	mix	457.3430810185964	457.3517502040486	461.50754432129906	463.524546478875	4.15579411725048	0	-1.1	0.73	bottom	left	left	gamble	bad	-1.1	9.73	
5	56	gain	468.4022999726585	468.409734896617	472.4529582853429	474.4696641655173	4.043223388725892	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	9.73	
6	102	loss	479.90104130579857	479.9017833645921	485.1474737745011	485.1544915890554	5.2456904099090025	-0.2	-0.36	0	top	right	left	safe	bad	-0.2	9.53	
7	7	mix	496.50911206559977	496.5161991707864	500.9405233392026	502.95676432328764	4.424324168416206	0	-0.3	0.3	top	left	left	gamble	good	0.3	9.83	
8	2	mix	508.132657515991	508.1334016227629	516.4166134471307	516.4237517523579	8.283211824367754	0	-0.3	0.09	top	right	left	safe	bad	0.0	9.83	
9	104	loss	523.2045211655786	523.2052611763938	530.9766876120702	530.9844843493775	7.771426435676403	-0.2	-0.44	0	top	right	left	safe	bad	-0.2	9.63	
10	65	gain	542.0218729850603	542.022633134562	551.3835303907981	553.4005147990538	9.360897256236058	0.3	0	0.74	top	right	right	gamble	bad	0.0	9.63	
11	66	gain	558.5430173940258	558.5499406591989	564.5113703272655	564.517997656425	5.9614296680665575	0.3	0	0.84	bottom	left	right	safe	good	0.3	9.93	
12	55	gain	571.8870070420671	571.8937722698902	576.1564119306859	576.1632956012036	4.262639660795685	0.2	0	0.5	top	left	right	safe	good	0.2	10.13	
13	60	gain	587.7343504613382	587.7372087871772	591.6159234758234	593.6319190412178	3.8787146886461414	0.2	0	1	top	left	left	gamble	good	1.0	11.13	
14	42	mix	598.6874478399986	598.6881957014557	601.6778918703785	601.684408948815	2.989696168922819	0	-0.8	1.2	top	right	left	safe	good	0.0	11.13	
15	123	loss	608.9121117717004	608.9128275478142	616.6551204958232	618.6710034211865	7.742292948008981	-0.4	-0.8	0	bottom	right	right	gamble	bad	-0.8	10.33	
16	41	mix	627.7488895571441	627.7566914145136	637.7285392603371	0	0	0	-0.8	0.96	bottom	left	right	gamble	NaN	0	10.33	
17	100	gain	641.1068312075804	641.1136916674441	646.2078136674827	648.2243185022962	5.094122000038624	0.6	0	3	top	left	left	gamble	good	3.0	13.33	
18	95	gain	653.6918093980639	653.6963228495442	656.2531229445594	658.2689137099078	2.5568000950152054	0.6	0	1.49	top	left	left	gamble	bad	0.0	13.33	
19	113	loss	667.4154375536018	667.4161761990399	669.2638790424098	671.2801050078124	1.847702843369916	-0.3	-0.6	0	bottom	right	right	gamble	good	0.0	13.33	
20	144	loss	675.8133145281463	675.8140292802709	678.7757678551134	678.7820838881889	2.9617385748424567	-0.6	-1.33	0	bottom	right	left	safe	good	-0.6	12.73	
21	106	loss	686.0259901484824	686.0329618830001	690.4084429497016	692.4206261624931	4.375481066701468	-0.2	-0.56	0	bottom	left	left	gamble	bad	-0.56	12.17	
22	87	gain	701.9662011676119	701.974714705022	707.1475106385187	709.1633310999023	5.172795933496673	0.5	0	1.58	bottom	left	left	gamble	bad	0.0	12.17	
23	76	gain	714.1144978968659	714.1210207780241	718.2913799324306	718.2984202749794	4.170359154406469	0.4	0	1.12	bottom	left	right	safe	good	0.4	12.57	
24	25	mix	725.2651303706225	725.2729185745702	731.5192462539999	733.535671216785	6.246327679429669	0	-1.1	0.57	top	left	left	gamble	good	0.57	13.14	
25	23	mix	742.897484953166	742.8982505640015	748.2448698444641	750.2614726419561	5.346619280462619	0	-1.1	0.33	bottom	right	right	gamble	bad	-1.1	12.04	
26	13	mix	754.8182095903321	754.8190028491081	760.0229024466244	762.039505585446	5.203899597516283	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	12.45	
27	61	gain	766.6468049317482	766.6538234289619	773.4835741838906	775.4994427732308	6.829750754928682	0.3	0	0.5	top	left	left	gamble	bad	0.0	12.45	
28	1	mix	784.7612864446128	784.7685493365279	790.4425380595494	790.4499190528295	5.673988723021466	0	-0.3	0.06	bottom	left	right	safe	good	0.0	12.45	
29	36	mix	797.1360121405451	797.1425104456721	804.5527255983325	804.5592488208204	7.410215152660385	0	-0.3	0.45	top	left	right	safe	good	0.0	12.45	
30	135	loss	811.4744626303436	811.4834919225541	818.6630032491521	820.6792295559426	7.1795113265980035	-0.5	-1.24	0	top	left	left	gamble	good	0.0	12.45	
31	9	mix	830.1242671998916	830.1250259840162	835.3551925513311	835.3620973844663	5.230166567314882	0	-0.5	0.15	bottom	right	left	safe	bad	0.0	12.45	
