Round	Rating	RatingOnset	RT	
1	66	250.6401042159414	58.08729464956559	
4	76	452.20913394505624	4.101442577317357	
7	73	491.73531370417913	3.740749779739417	
10	66	537.7315470902249	3.257213483855594	
13	70	582.8902968132752	3.810594442358706	
16	70	623.5782808880322	3.138258455612231	
19	64	663.6358273085207	2.7461377273430116	
22	72	697.6184677748824	3.3141731523210183	
25	68	738.6947694412665	3.1697676236508414	
28	73	780.4252420139383	3.30355256376788	
31	68	826.0714997882023	3.023724036058411	
34	69	867.6548074930906	2.9346503568813205	
37	64	903.5076112226816	3.01507259986829	
40	67	941.4307101748418	3.0753599275485612	
43	68	975.5801510537276	3.4268797314725816	
46	72	1012.3932966217981	3.5298753757961094	
49	65	1051.9177137353108	3.288269361190032	
52	66	1090.2809050932992	2.691480011329986	
55	65	1134.2448527778033	4.073568268562667	
58	69	1171.4095164432656	3.309509855462238	
61	70	1212.0802495284006	3.4382519361097366	
64	74	1249.40914507251	3.4572276833932847	
67	72	1287.6296365447924	3.3194706465583295	
70	73	1325.7319263116224	3.7503156480379403	
73	74	1366.8773565230658	3.735975890944246	
76	71	1403.3894508184749	3.290588380245026	
79	70	1452.664533105446	3.4766386306728236	
82	65	1489.2886851052754	2.786249520839192	
85	69	1527.4775974361692	3.4129871212062426	
88	72	1567.9132688918617	3.6423235656693578	
91	67	1602.3933454324724	2.9964381860918365	
94	69	1642.1606461714255	3.3941318645956926	
97	69	1679.7359868136118	3.2864521022420377	
100	68	1723.2444831137545	2.7910967963398434	
103	67	1762.6674487752607	2.8167162567260675	
106	71	1805.016714413534	3.2009248769609258	
109	69	1848.9190353782033	3.0095197882619686	
112	65	1885.521322585002	3.3899914905778132	
115	67	1923.9004023296875	2.727613905502949	
118	64	1961.134836588346	2.7597405457054265	
121	71	2001.4060672693304	3.436563359806314	
124	72	2041.1626583317993	3.3449586935457774	
127	68	2077.2239447422326	2.8345731131266803	
130	68	2109.8747739946702	3.53517355263466	
133	70	2149.6211765966727	3.238468478084542	
136	68	2187.261823874025	5.495371348573826	
139	70	2231.177795443684	3.278153946157545	
142	72	2270.4799877939513	3.507325867889449	
145	67	2307.9658854341833	2.9047502344474196	
148	67	2345.9622840255615	3.141104493464809	
151	68	2387.942275062145	3.4753722838358954	

Start Time: 15:15:51
End Time: 15:55:44
