Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	92	gain	430.60492540000996	430.6076233000058	434.0532133000088	436.07012470001064	3.445590000002994	0.6	0	1.09	top	right	right	gamble	bad	0.0	10.0	
2	113	loss	441.01452060000156	441.01549210000667	445.88084890000755	447.89661470000283	4.865356800000882	-0.3	-0.6	0	bottom	right	right	gamble	good	0.0	10.0	
3	87	gain	452.4290156000061	452.43943100000615	455.57569440000225	457.591840100009	3.1362633999960963	0.5	0	1.58	bottom	left	left	gamble	bad	0.0	10.0	
4	77	gain	472.9666816000099	472.9676576000056	477.86390300000494	477.8715458000079	4.896245399999316	0.4	0	1.26	top	right	left	safe	bad	0.4	10.4	
5	68	gain	484.4955040000059	484.49625900000683	487.7253106999997	489.7413593000092	3.2290516999928514	0.3	0	1.08	top	right	right	gamble	good	1.08	11.48	
6	1	mix	493.79257320000033	493.7996802999987	500.05215099999623	502.0673526000028	6.252470699997502	0	-0.3	0.06	bottom	left	left	gamble	bad	-0.3	11.18	
7	37	mix	510.84668370000145	510.84979930000554	514.6439012000046	516.6606546999974	3.7941018999990774	0	-0.3	0.6	bottom	left	left	gamble	bad	-0.3	10.88	
8	43	mix	521.2304009000072	521.2311524999968	525.188682100008	527.2039839000063	3.957529600011185	0	-0.8	1.6	top	right	right	gamble	good	1.6	12.48	
9	86	gain	531.4929682000075	531.5002139999997	534.600371499997	536.6167451000074	3.1001574999972945	0.5	0	1.4	top	left	left	gamble	bad	0.0	12.48	
10	27	mix	545.8441067000094	545.8448567000014	553.3403783000103	553.3480832000059	7.495521600008942	0	-1.1	0.9	top	right	left	safe	bad	0.0	12.48	
11	145	loss	560.6905121000018	560.7008320000023	566.5501118999964	568.5661372000031	5.849279899994144	-0.6	-1.49	0	top	left	left	gamble	bad	-1.49	10.99	
12	66	gain	573.6428588999988	573.6489345000009	578.0439619000099	578.0513975000067	4.395027400008985	0.3	0	0.84	bottom	left	right	safe	good	0.3	11.29	
13	47	mix	594.4521026000002	594.4598917999974	598.1827679999988	600.1989993000025	3.7228762000013376	0	-1.1	2.2	top	left	left	gamble	bad	-1.1	10.19	
14	40	mix	605.473848499998	605.4746078000026	609.5116196000017	611.5263355000061	4.0370117999991635	0	-0.5	1	top	right	right	gamble	bad	-0.5	9.69	
15	34	mix	617.0144741999975	617.015330299997	620.1710357999982	622.1869739999966	3.155705500001204	0	-1.5	1.5	bottom	right	right	gamble	good	1.5	11.19	
16	62	gain	633.8809038000036	633.8877987000014	637.8621999000025	639.8776811999996	3.9744012000010116	0.3	0	0.55	bottom	left	left	gamble	bad	0.0	11.19	
17	73	gain	645.2901678000053	645.2909848999989	648.872956200008	648.8798690999974	3.5819713000091724	0.4	0	0.8	bottom	right	left	safe	good	0.4	11.59	
18	33	mix	655.5579011000082	655.559462899997	658.2347503000055	660.2508592000086	2.6752874000085285	0	-1.5	1.23	bottom	right	right	gamble	good	1.23	12.82	
19	59	gain	673.5768280000048	673.5775741999969	677.3912098000001	677.3981525999989	3.813635600003181	0.2	0	0.84	bottom	right	left	safe	bad	0.2	13.02	
20	80	gain	684.5474830000021	684.5544479000091	687.5519107	689.5684578000073	2.997462799990899	0.4	0	2	top	left	left	gamble	bad	0.0	13.02	
21	134	loss	694.742708500009	694.7434940000094	699.5628251000016	701.5780302000057	4.819331099992269	-0.5	-1.11	0	bottom	right	right	gamble	good	0.0	13.02	
22	5	mix	711.9719868000102	711.9791488000046	717.386287500005	719.4026238000079	5.40713870000036	0	-0.3	0.2	top	left	left	gamble	bad	-0.3	12.72	
23	64	gain	724.8680606999988	724.8752206000063	728.6635158999998	730.6800408999989	3.7882952999934787	0.3	0	0.67	top	left	left	gamble	good	0.67	13.39	
24	146	loss	735.2900702000043	735.3018623000098	738.9754668000096	738.9836122999986	3.673604499999783	-0.6	-1.68	0	bottom	left	right	safe	bad	-0.6	12.79	
25	52	gain	753.4009288000088	753.4016847000021	757.0152069000032	757.0228630000056	3.613522200001171	0.2	0	0.36	top	right	left	safe	bad	0.2	12.99	
26	139	loss	763.8508331000048	763.8587949000066	768.275721900005	768.2802593000088	4.416926999998395	-0.5	-2.1	0	top	left	right	safe	bad	-0.5	12.49	
27	9	mix	775.4433191999997	775.4440704000008	779.137169900001	779.1447329000075	3.693099500000244	0	-0.5	0.15	bottom	right	left	safe	bad	0.0	12.49	
28	81	gain	791.0149740000052	791.0206509999989	795.3452198000014	797.3617296000011	4.324568800002453	0.5	0	0.84	bottom	left	left	gamble	bad	0.0	12.49	
29	90	gain	802.8537051000021	802.8544298000052	805.3233667000022	807.338585000005	2.468936899997061	0.5	0	2.5	top	right	right	gamble	bad	0.0	12.49	
30	123	loss	812.5311038000073	812.5318178000016	818.0666148000018	818.0742690000043	5.534797000000253	-0.4	-0.8	0	bottom	right	left	safe	good	-0.4	12.09	
31	79	gain	830.9087921000028	830.9095480999968	834.4412420000008	836.4565116000012	3.5316939000040293	0.4	0	1.68	top	right	right	gamble	good	1.68	13.77	
32	56	gain	841.0052278000076	841.0125625000073	844.5020146000024	844.509008699999	3.4894520999951055	0.2	0	0.56	bottom	left	right	safe	good	0.2	13.97	
33	41	mix	851.9757477000094	851.9838355000102	859.9615663000004	0	0	0	-0.8	0.96	bottom	left	right	safe	NaN	0	13.97	
34	2	mix	1194.3510119999992	1194.35175300001	1198.3981741000025	1200.4137375999999	4.046421099992585	0	-0.3	0.09	top	right	right	gamble	good	0.09	14.06	
35	93	gain	1204.6710826000053	1204.6718058999977	1207.076791600004	1207.0838710000098	2.404985700006364	0.6	0	1.2	top	right	left	safe	bad	0.6	14.66	
36	124	loss	1214.4913709999964	1214.4920841999992	1219.3037203999993	1219.3115226000082	4.811636200000066	-0.4	-0.89	0	bottom	right	left	safe	bad	-0.4	14.26	
37	24	mix	1232.2960433999979	1232.296881400005	1235.5117587999994	1237.5285468000075	3.2148773999942932	0	-1.1	0.44	bottom	right	right	gamble	good	0.44	14.7	
38	147	loss	1242.2349549000064	1242.2430522000068	1247.7047087999963	1247.709806400002	5.46165659998951	-0.6	-1.9	0	top	left	right	safe	good	-0.6	14.1	
39	6	mix	1254.6369673000008	1254.6443751000043	1258.2994987999991	1260.3162350000057	3.655123699994874	0	-0.3	0.25	bottom	left	left	gamble	bad	-0.3	13.8	
40	89	gain	1273.4084116000013	1273.415678999998	1277.6563317999971	1279.6718677000026	4.240652799999225	0.5	0	2.1	top	left	left	gamble	good	2.1	15.9	
41	150	loss	1284.8801285000081	1284.8873705000005	1290.3660249000095	1292.3811409000045	5.478654400008963	-0.6	-3	0	top	left	left	gamble	good	0.0	15.9	
42	85	gain	1297.6935819000064	1297.7055347999994	1300.893125100003	1302.9096804	3.1875903000036487	0.5	0	1.24	top	left	left	gamble	good	1.24	17.14	
43	117	loss	1317.085848600007	1317.0867511000106	1322.2988207000017	1322.3060051000066	5.212069599991082	-0.3	-0.95	0	top	right	left	safe	good	-0.3	16.84	
44	127	loss	1328.8740363999968	1328.8748338000005	1333.8594806000037	1335.8756273000035	4.984646800003247	-0.4	-1.26	0	top	right	right	gamble	good	0.0	16.84	
45	94	gain	1339.9387947000068	1339.9395847999986	1344.2699463000026	1346.2869315999997	4.330361500004074	0.6	0	1.33	bottom	right	right	gamble	bad	0.0	16.84	
46	130	loss	1360.7453852000035	1360.752971599999	1367.2912645000033	1367.2989840000082	6.538292900004308	-0.4	-2	0	top	left	right	safe	good	-0.4	16.44	
47	38	mix	1374.767829400007	1374.7685497000057	1379.7520643000025	1379.7595240000082	4.983514599996852	0	-0.5	0.6	bottom	right	left	safe	bad	0.0	16.44	
48	108	loss	1386.4656836000067	1386.4664244000014	1393.1939050000074	1393.1972202000034	6.727480600005947	-0.2	-0.72	0	bottom	right	left	safe	bad	-0.2	16.24	
49	74	gain	1406.4203146000073	1406.42106410001	1414.183043500001	1414.1907168000034	7.761979399991105	0.4	0	0.89	bottom	right	left	safe	bad	0.4	16.64	
50	110	loss	1420.7658366999967	1420.7711589999963	1425.9105979000014	1427.9257641000004	5.139438900005189	-0.2	-1	0	top	left	left	gamble	good	0.0	16.64	
51	72	gain	1433.1086270000087	1433.115900600009	1438.4207291000057	1440.437006200009	5.304828499996802	0.4	0	0.73	top	left	left	gamble	bad	0.0	16.64	
52	129	loss	1452.0470674000098	1452.0478529999964	1457.2267557000014	1457.2315329999983	5.178902700004983	-0.4	-1.68	0	top	right	left	safe	bad	-0.4	16.24	
