Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	99	gain	319.88961940072477	319.89218720048666	322.49628919921815	324.5125590004027	2.604101998731494	0.6	0	2.52	bottom	right	right	gamble	good	2.52	12.52	
2	91	gain	329.0655843000859	329.0740546993911	331.24171889945865	331.24621840007603	2.16766420006752	0.6	0	1.01	bottom	left	right	safe	good	0.6	13.12	
3	103	loss	338.75786199979484	338.7586573008448	339.97056009992957	339.9751772992313	1.2119027990847826	-0.2	-0.4	0	top	right	left	safe	good	-0.2	12.92	
4	76	gain	355.6792421005666	355.6868179999292	356.97814819961786	358.9947586003691	1.291330199688673	0.4	0	1.12	bottom	left	left	gamble	bad	0.0	12.92	
5	58	gain	363.92687929980457	363.92771169915795	365.5069804992527	367.523928899318	1.5792688000947237	0.2	0	0.72	bottom	right	right	gamble	good	0.72	13.64	
6	20	mix	372.7542297001928	372.7648598998785	374.6687543001026	374.67330529913306	1.9038944002240896	0	-0.8	0.66	top	left	right	safe	good	0.0	13.64	
7	95	gain	389.177929000929	389.1868488006294	390.82902069948614	392.84308259934187	1.642171898856759	0.6	0	1.49	top	left	left	gamble	bad	0.0	13.64	
8	98	gain	398.2101415004581	398.2109783999622	399.855092599988	401.8718710001558	1.644114200025797	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	13.64	
9	93	gain	406.4597290996462	406.4606357999146	408.38427310064435	410.40060270018876	1.9236373007297516	0.6	0	1.2	top	right	right	gamble	good	1.2	14.84	
10	114	loss	423.14265820011497	423.1513061001897	425.80807740055025	427.8243361003697	2.6567713003605604	-0.3	-0.67	0	top	left	left	gamble	good	0.0	14.84	
11	141	loss	432.60743710026145	432.61611719988286	434.1036651004106	436.11994270049036	1.4875479005277157	-0.6	-1.01	0	bottom	left	left	gamble	bad	-1.01	13.83	
12	83	gain	440.73671980015934	440.73773650079966	442.1165235992521	444.13336809910834	1.3787870984524488	0.5	0	1	bottom	right	right	gamble	good	1.0	14.83	
13	41	mix	457.04275679960847	457.0509428009391	458.008038200438	460.02487690001726	0.9570953994989395	0	-0.8	0.96	bottom	left	left	gamble	bad	-0.8	14.03	
14	61	gain	465.2222621999681	465.2294632997364	466.9363433998078	466.9409583006054	1.7068801000714302	0.3	0	0.5	top	left	right	safe	good	0.3	14.33	
15	69	gain	473.90726480074227	473.90802990086377	475.16567079909146	477.1818867009133	1.2576408982276917	0.3	0	1.26	bottom	right	right	gamble	bad	0.0	14.33	
16	11	mix	489.4754275996238	489.4843147993088	490.8740193005651	492.89030260033906	1.3897045012563467	0	-0.5	0.26	top	left	left	gamble	bad	-0.5	13.83	
17	97	gain	497.7482935991138	497.75669080019	499.45279680006206	501.4686763994396	1.6961059998720884	0.6	0	1.9	top	left	left	gamble	bad	0.0	13.83	
18	2	mix	506.49191229976714	506.4927457999438	510.59659340046346	512.6131574008614	4.103847600519657	0	-0.3	0.09	top	right	right	gamble	good	0.09	13.92	
19	135	loss	524.8062529992312	524.8151728007942	525.8385329004377	527.8551589008421	1.0233600996434689	-0.5	-1.24	0	top	left	left	gamble	good	0.0	13.92	
20	134	loss	533.2478349003941	533.2486694995314	534.1844359003007	536.2006899006665	0.9357664007693529	-0.5	-1.11	0	bottom	right	right	gamble	good	0.0	13.92	
21	101	loss	540.8041762001812	540.8123594000936	543.0627482999116	545.0794227998704	2.250388899818063	-0.2	-0.34	0	bottom	left	left	gamble	bad	-0.34	13.58	
22	72	gain	558.4218889009207	558.4287334997207	559.3877683002502	561.4045023005456	0.95903480052948	0.4	0	0.73	top	left	left	gamble	bad	0.0	13.58	
23	131	loss	566.675613200292	566.6824073996395	567.8833207990974	567.8878664001822	1.2009133994579315	-0.5	-0.84	0	bottom	left	right	safe	good	-0.5	13.08	
24	50	mix	574.6196363996714	574.6277492996305	576.9785031992942	578.9945855997503	2.3507538996636868	0	-1.5	3	top	left	left	gamble	good	3.0	16.08	
25	85	gain	590.8373943995684	590.8461844995618	592.8198348004371	594.836882699281	1.9736503008753061	0.5	0	1.24	top	left	left	gamble	good	1.24	17.32	
26	110	loss	599.5431450009346	599.5509971994907	601.81533879973	601.8198851998895	2.264341600239277	-0.2	-1	0	top	left	right	safe	bad	-0.2	17.12	
27	145	loss	609.0398203991354	609.0471263993531	610.8602088000625	612.8766425997019	1.8130824007093906	-0.6	-1.49	0	top	left	left	gamble	bad	-1.49	15.63	
28	57	gain	624.8691256009042	624.8775881007314	626.6519192997366	628.6687819994986	1.7743311990052462	0.2	0	0.63	top	left	left	gamble	good	0.63	16.26	
29	7	mix	633.6367504000664	633.644290799275	635.6141625996679	635.6184119991958	1.9698718003928661	0	-0.3	0.3	top	left	right	safe	bad	0.0	16.26	
30	79	gain	642.8099213000387	642.8107743002474	644.8090106006712	646.8261280991137	1.9982363004237413	0.4	0	1.68	top	right	right	gamble	good	1.68	17.94	
31	125	loss	658.0026372000575	658.0102468002588	660.567634800449	660.5718713998795	2.557388000190258	-0.4	-0.99	0	top	left	right	safe	bad	-0.4	17.54	
32	4	mix	667.448573699221	667.4493480008096	669.6794684007764	671.6958891991526	2.230120399966836	0	-0.3	0.16	top	right	right	gamble	good	0.16	17.7	
33	38	mix	675.7228424996138	675.7236336991191	678.0417279992253	680.0583309996873	2.318094300106168	0	-0.5	0.6	bottom	right	right	gamble	good	0.6	18.3	
