Round	Rating	RatingOnset	RT	
1	67	39.483618800062686	15.521372799994424	
1	50	196.59539380006026	118.58824379998259	
4	43	408.9458930999972	3.6191166000207886	
7	43	439.42520500009414	3.640322499908507	
10	60	474.51336830004584	4.849829399958253	
13	50	508.7185914000729	1.7445222999667749	
16	32	539.2014971000608	3.494593400042504	
19	50	569.9789891000837	1.5350221999688074	
22	81	598.4634241000749	4.467404800001532	
25	50	635.7814646000043	2.280699099996127	
28	58	671.6124594000867	2.0660947000142187	
31	61	701.5452906000428	2.781622000038624	
34	56	733.2651379000163	2.1114078999962658	
37	56	763.9281243000878	2.432067099958658	
40	56	793.2544216000242	2.207575500011444	
43	48	822.1284967000829	4.500292000011541	
46	55	858.7267935000127	3.43305460002739	
49	89	891.0448204000713	5.19682259997353	
52	71	922.1374878000934	3.3386507999384776	
55	72	952.1270682000322	3.4664746000198647	
58	56	981.4816877000267	1.9306183999869972	
61	61	1010.0231079000514	3.3233007000526413	
64	59	1040.772448600037	2.408150100032799	
67	72	1076.556613199995	3.4710051000583917	
70	66	1110.8242526000831	2.868797199917026	
73	63	1142.3679700000212	2.191804700065404	
76	67	1175.5166650000028	3.5745748000917956	
79	64	1213.8616848000092	2.4763582000741735	
82	43	1245.5598974000895	2.0283730999799445	
85	65	1276.6341814000625	2.037419299944304	
88	57	1305.4456126000732	3.0275305999675766	
91	65	1338.3350624000886	2.804133699974045	
94	50	1368.3303801000584	1.110403100028634	
97	50	1396.2157357000979	1.126954499981366	
100	50	1425.4128587000305	1.047758899978362	
103	60	1460.5630850000307	2.8606187000405043	
106	57	1489.8106637001038	1.9979905999498442	
109	54	1519.6629241000628	2.6968544999836013	
112	55	1554.4694446000503	1.872145300032571	
115	45	1584.5651142999995	2.34307110006921	
118	56	1613.7192734000273	1.8410085000796244	
121	50	1645.9725945000537	1.5373582999454811	
124	50	1672.9016668000259	1.660063000046648	
127	37	1705.920198100037	3.239790100022219	
130	57	1737.2509192000143	1.943770100013353	
133	58	1766.4766929000616	2.2519532999722287	
136	28	1796.2648110000882	3.3809547999408096	
139	70	1828.3512363000773	3.17714609997347	
142	56	1858.087917100056	1.69778030004818	
145	66	1886.491219800082	2.390641300007701	
148	35	1917.181633500033	2.783727000001818	
151	41	1946.7531291000778	2.1315323000308126	

Start Time: 09:15:38
End Time: 09:48:08
