Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	121	loss	606.9949852	607.0087100999999	611.3085338999999	611.3128188000001	4.299823800000013	-0.4	-0.67	0	bottom	left	right	safe	bad	-0.4	9.6	
2	71	gain	617.9796478999999	617.9873634	622.4523443999999	624.4690115000001	4.464980999999852	0.4	0	0.67	bottom	left	left	gamble	good	0.67	10.27	
3	112	loss	629.2082963	629.2164485000001	632.7987295	632.8058593999999	3.5822809999999663	-0.3	-0.55	0	bottom	left	right	safe	good	-0.3	9.97	
4	6	mix	641.1589718	641.1668013999999	645.1405342	647.1573189000001	3.973732800000107	0	-0.3	0.25	bottom	left	left	gamble	bad	-0.3	9.67	
5	103	loss	652.3433093000001	652.34412	658.1342324	660.1493832000001	5.790112399999998	-0.2	-0.4	0	top	right	right	gamble	bad	-0.4	9.27	
6	65	gain	665.1865111	665.1872285	669.0438770000001	671.0612573000001	3.8566485000001194	0.3	0	0.74	top	right	right	gamble	bad	0.0	9.27	
7	7	mix	677.2243793	677.2298624	680.4551191999999	682.4716169999999	3.2252567999998973	0	-0.3	0.3	top	left	left	gamble	good	0.3	9.57	
8	32	mix	687.6489369999999	687.6553770999999	692.9820701000001	692.9886862999999	5.326693000000205	0	-1.5	0.99	top	left	right	safe	bad	0.0	9.57	
9	37	mix	699.9049402999999	699.9118823000001	705.2419465999999	705.2501589000001	5.330064299999776	0	-0.3	0.6	bottom	left	right	safe	good	0.0	9.57	
10	105	loss	712.8553835	712.8627618999999	717.8347558999999	719.8518334	4.971993999999995	-0.2	-0.5	0	top	left	left	gamble	bad	-0.5	9.07	
11	126	loss	724.5964325	724.6049258999999	728.7294013000001	730.746243	4.124475400000165	-0.4	-1.12	0	bottom	left	left	gamble	bad	-1.12	7.95	
12	138	loss	736.0377239	736.0384803	737.9914913	740.0070889000001	1.9530110000000604	-0.5	-1.8	0	bottom	right	right	gamble	good	0.0	7.95	
13	27	mix	746.5042834000001	746.5050339	750.4346227000001	752.4499452	3.929588800000147	0	-1.1	0.9	top	right	right	gamble	good	0.9	8.85	
14	39	mix	757.2703185	757.2780223	762.4449752999999	764.4608949999999	5.166952999999921	0	-0.5	0.75	top	left	left	gamble	good	0.75	9.6	
15	83	gain	769.657518	769.6583424	773.5894996	775.6055274	3.931157199999916	0.5	0	1	bottom	right	right	gamble	good	1.0	10.6	
16	87	gain	782.1173521999999	782.1262610000001	790.0995516999999	0	0	0.5	0	1.58	bottom	left	right	gamble	NaN	0	10.6	
17	31	mix	792.9951166999999	793.0036372	794.5283440999999	796.544196	1.5247068999999556	0	-1.5	0.78	bottom	left	left	gamble	bad	-1.5	9.1	
18	59	gain	801.2807230000001	801.2814357	803.3734979999999	805.3899365	2.0920622999999523	0.2	0	0.84	bottom	right	right	gamble	good	0.84	9.94	
19	135	loss	811.5195653999999	811.529158	813.8170871	815.8343399	2.2879290999999284	-0.5	-1.24	0	top	left	left	gamble	good	0.0	9.94	
20	35	mix	821.2265057	821.2345204999999	823.6462067	825.6619232	2.4116862000000765	0	-0.3	0.36	top	left	left	gamble	good	0.36	10.3	
21	26	mix	830.4190713	830.4260538000001	833.0746678	835.0896542	2.6486139999999523	0	-1.1	0.73	bottom	left	left	gamble	bad	-1.1	9.2	
22	5	mix	840.9867202	840.9922182	843.7021886	843.7090456000001	2.7099703999999747	0	-0.3	0.2	top	left	right	safe	good	0.0	9.2	
23	56	gain	851.1852766	851.192847	852.9637431000001	854.9801878999999	1.7708961000000727	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	9.2	
24	57	gain	860.4114649999999	860.4433139	861.9585526999999	863.9754461	1.5152387999999064	0.2	0	0.63	top	left	left	gamble	good	0.63	9.83	
25	90	gain	869.9544430999999	869.9551985	871.8372875	873.8524543999999	1.8820889999999508	0.5	0	2.5	top	right	right	gamble	bad	0.0	9.83	
26	110	loss	879.0378935000001	879.0464565	881.0484117000001	883.0637609	2.0019552000001113	-0.2	-1	0	top	left	left	gamble	good	0.0	9.83	
27	14	mix	888.2458224	888.2527422000001	889.9442365999998	891.9603657999999	1.6914943999997831	0	-0.5	0.5	top	left	left	gamble	good	0.5	10.33	
28	117	loss	897.5239933	897.5247449999999	899.7052515999999	899.7122996999999	2.1805065999999442	-0.3	-0.95	0	top	right	left	safe	good	-0.3	10.03	

Start Time: 14:21:44
End Time: 14:36:51
