0.4853 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
1.0423 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.9103 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1200]. Using actual size
5.5240 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1, 1, 1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9AB69C240>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B9A3C3D710>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.5260 	EXP 	window1: mouseVisible = True
5.5261 	EXP 	window1: recordFrameIntervals = False
5.6901 	EXP 	window1: recordFrameIntervals = True
5.8739 	EXP 	window1: recordFrameIntervals = False
6.2640 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='norm', win=Window(...))
6.2791 	EXP 	Imported conditions.xlsx as conditions, 40 conditions, 4 params
6.2797 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
6.2799 	EXP 	New trial (rep=0, index=0): {'imageFile': 'different/077_133_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
6.3522 	EXP 	faces: ori = 0.0
6.3522 	EXP 	faces: size = array([1.04166667, 1.16666667])
6.3522 	EXP 	faces: image = 'different/077_133_R.jpg'
6.3522 	EXP 	faces: autoDraw = True
6.8647 	EXP 	New trial (rep=0, index=1): {'imageFile': 'same/092_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
6.8962 	DATA 	Keypress: left
6.9011 	EXP 	faces: autoDraw = False
6.9011 	EXP 	faces: ori = 0.0
6.9011 	EXP 	faces: size = array([1.04166667, 1.16666667])
6.9011 	EXP 	faces: image = 'same/092_C2_DV.jpg'
6.9011 	EXP 	faces: autoDraw = True
7.1474 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/303_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
7.1667 	DATA 	Keypress: right
7.1703 	EXP 	faces: autoDraw = False
7.1703 	EXP 	faces: ori = 180.0
7.1703 	EXP 	faces: size = array([1.04166667, 1.16666667])
7.1703 	EXP 	faces: image = 'same/303_DV_C2.jpg'
7.1703 	EXP 	faces: autoDraw = True
7.4144 	EXP 	New trial (rep=0, index=3): {'imageFile': 'different/303_037_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
7.4345 	DATA 	Keypress: left
7.4410 	EXP 	faces: autoDraw = False
7.4410 	EXP 	faces: ori = 180.0
7.4410 	EXP 	faces: size = array([1.04166667, 1.16666667])
7.4410 	EXP 	faces: image = 'different/303_037_R.jpg'
7.4410 	EXP 	faces: autoDraw = True
7.5470 	DATA 	Keypress: right
7.5646 	EXP 	New trial (rep=0, index=4): {'imageFile': 'same/136_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
7.5897 	EXP 	faces: autoDraw = False
7.5897 	EXP 	faces: ori = 180.0
7.5897 	EXP 	faces: size = array([1.04166667, 1.16666667])
7.5897 	EXP 	faces: image = 'same/136_C2_DV.jpg'
7.5897 	EXP 	faces: autoDraw = True
7.6981 	EXP 	New trial (rep=0, index=5): {'imageFile': 'same/139_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
7.7196 	DATA 	Keypress: left
7.7237 	EXP 	faces: autoDraw = False
7.7237 	EXP 	faces: ori = 180.0
7.7237 	EXP 	faces: size = array([1.04166667, 1.16666667])
7.7237 	EXP 	faces: image = 'same/139_DV_C2.jpg'
7.7237 	EXP 	faces: autoDraw = True
7.8651 	EXP 	New trial (rep=0, index=6): {'imageFile': 'same/020_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
7.8858 	DATA 	Keypress: right
7.8893 	EXP 	faces: autoDraw = False
7.8893 	EXP 	faces: ori = 0.0
7.8893 	EXP 	faces: size = array([1.04166667, 1.16666667])
7.8893 	EXP 	faces: image = 'same/020_C2_DV.jpg'
7.8893 	EXP 	faces: autoDraw = True
7.9645 	DATA 	Keypress: left
7.9823 	EXP 	New trial (rep=0, index=7): {'imageFile': 'different/076_109_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.0077 	EXP 	faces: autoDraw = False
8.0077 	EXP 	faces: ori = 0.0
8.0077 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.0077 	EXP 	faces: image = 'different/076_109_R.jpg'
8.0077 	EXP 	faces: autoDraw = True
8.1484 	EXP 	New trial (rep=0, index=8): {'imageFile': 'same/235_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
8.1697 	DATA 	Keypress: right
8.1747 	EXP 	faces: autoDraw = False
8.1747 	EXP 	faces: ori = 180.0
8.1747 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.1747 	EXP 	faces: image = 'same/235_C2_DV.jpg'
8.1747 	EXP 	faces: autoDraw = True
8.2488 	EXP 	New trial (rep=0, index=9): {'imageFile': 'different/025_235_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.2678 	DATA 	Keypress: left
8.2731 	EXP 	faces: autoDraw = False
8.2731 	EXP 	faces: ori = 0.0
8.2731 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.2731 	EXP 	faces: image = 'different/025_235_L.jpg'
8.2731 	EXP 	faces: autoDraw = True
8.4154 	EXP 	New trial (rep=0, index=10): {'imageFile': 'different/049_218_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.4345 	DATA 	Keypress: right
8.4374 	EXP 	faces: autoDraw = False
8.4374 	EXP 	faces: ori = 0.0
8.4374 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.4374 	EXP 	faces: image = 'different/049_218_L.jpg'
8.4374 	EXP 	faces: autoDraw = True
8.4822 	EXP 	New trial (rep=0, index=11): {'imageFile': 'different/019_074_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.5008 	DATA 	Keypress: left
8.5043 	EXP 	faces: autoDraw = False
8.5043 	EXP 	faces: ori = 0.0
8.5043 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.5043 	EXP 	faces: image = 'different/019_074_L.jpg'
8.5043 	EXP 	faces: autoDraw = True
8.6654 	EXP 	New trial (rep=0, index=12): {'imageFile': 'same/102_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
8.6867 	DATA 	Keypress: right
8.6921 	EXP 	faces: autoDraw = False
8.6921 	EXP 	faces: ori = 0.0
