TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,timeoutText.started,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-0.8,0.96,top,left,1.68,0,0,0,0,40,,,,,,,,,,,,,29.72275009999794,34.820539799999096,0.05322080000041751,34.820539799999096,0.6539351851851852,-0.028935185185185185,0,0,0,right,0.7894282000015664,35.70373969999855,35.70373969999855,37.720532399998774,37.720532399998774,39.65479249999771,41.43514579999828,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.4,0.0,0.73,bottom,left,1.76,0,0,1,1,71,,,,,,,,,,,,,,41.43514579999828,0.0888336000025447,41.43514579999828,0.6539351851851852,-0.028935185185185185,0,0,0,right,0.7738344999997935,42.29010819999894,42.29010819999894,44.302199499998096,44.302199499998096,46.2394060000006,48.05882719999863,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.4,-2.0,0.0,bottom,left,1.92,0,0,2,2,129,,,,,,,,,,,,,,48.05882719999863,0.04050490000008722,48.05882719999863,0.6539351851851852,-0.028935185185185185,0,0,0,right,1.149709500004974,49.37543010000081,49.37543010000081,51.37100289999944,51.37100289999944,56.50816239999767,58.460703900000226,53.43984300000011,53.43984300000011,53.43984300000011,55.857587099999364,55.857587099999364,4.114583333333334,2.4339317999983905,space,0.5752783000025374,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.4,0.0,0.99,top,left,1.96,0,0,3,3,74,,,,,,,,,,,,,,58.460703900000226,0.01926879999882658,58.460703900000226,-0.15393518518518517,-0.20601851851851852,0,0,0,right,1.4276780000000144,59.97761979999996,59.97761979999996,61.99183489999996,61.99183489999996,63.92958169999838,65.94833780000044,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.6,-1.09,0.0,bottom,right,1.93,1,0,4,4,141,,,,,,,,,,,,,,65.94833780000044,0.0312787999973807,65.94833780000044,-0.15393518518518517,-0.20601851851851852,0,0,0,right,0.788324700002704,66.83170550000068,66.83170550000068,68.83287759999803,68.83287759999803,70.78368219999902,72.7498147999977,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.6,-1.01,0.0,top,left,1.1,0,0,5,5,140,,,,,,,,,,,,,,72.7498147999977,0.00865440000052331,72.7498147999977,-0.15393518518518517,-0.20601851851851852,0,0,0,left,0.46702210000148625,73.2831428999998,73.2831428999998,75.3516103999973,75.3516103999973,79.61386459999994,80.76677159999963,77.33016320000024,77.33016320000024,77.33016320000024,78.95090549999804,78.95090549999804,4.114583333333334,1.5454433999984758,space,0.593373600000632,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.2,-0.56,0.0,top,left,1.68,0,0,6,6,105,,,,,,,,,,,,,,80.76677159999963,0.031422900003235554,80.76677159999963,-0.15393518518518517,-0.20601851851851852,0,0,0,left,0.6499985000045854,81.4880693999985,81.4880693999985,83.53880869999921,83.53880869999921,85.47114299999885,87.18454650000058,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
loss,-0.3,-1.26,0.0,top,right,1.68,0,0,7,7,118,,,,,,,,,,,,,,87.18454650000058,0.01954759999716771,87.18454650000058,-0.15393518518518517,-0.20601851851851852,0,0,0,left,1.3046373000033782,88.5577252999974,88.5577252999974,90.57265099999859,90.57265099999859,92.54043589999856,94.25662679999732,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
mix,0.0,-1.5,1.5,bottom,right,1.72,0,0,8,8,33,,,,,,,,,,,,,,94.25662679999732,0.024474700003338512,94.25662679999732,-0.17824074074074073,-0.17592592592592593,0,0,0,left,2.0155572000039683,96.34117110000079,96.34117110000079,98.34375689999797,98.34375689999797,102.9430786999983,104.71172699999806,100.35653669999738,100.35653669999738,100.35653669999738,102.64288659999875,102.64288659999875,3.84375,2.1935217999998713,space,0.26179510000292794,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
gain,0.2,0.0,0.84,bottom,right,1.6,0,0,9,9,58,,,,,,,,,,,,,,104.71172699999806,0.019131999997625826,104.71172699999806,-0.18287037037037038,-0.18055555555555555,0,0,0,left,0.6889895000022079,105.49748089999775,105.49748089999775,107.49205489999804,107.49205489999804,109.44640280000021,111.08125909999944,,,,,,,,,,,,001,2022-12-15_14h53.02.140,SWB_debug,2022.2.4,59.610350979899756,
