TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.clicked_name,Keys.keys,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-0.8,0.96,top,left,1.68,0,0,0,0,40,,,,,,,,,,,,,24.312707499833778,0.03403199999593198,24.312707499833778,-0.22800925925925927,-0.04513888888888889,1,0,0,LeftHalf,None,25.14216379984282,25.14216379984282,27.17601910000667,27.17601910000667,29.143618599977344,30.844311599852517,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
mix,0.0,-0.8,0.32,bottom,right,1.95,0,0,1,1,16,,,,,,,,,,,,,30.844311599852517,0.0071715000085532665,30.844311599852517,0.2708333333333333,0.02199074074074074,1,0,0,RightHalf,None,31.644673299975693,31.644673299975693,33.661875899881124,33.661875899881124,35.64601879986003,37.613398199900985,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
gain,0.3,0.0,1.5,bottom,left,1.04,0,0,2,2,69,,,,,,,,,,,,,37.613398199900985,0.010931900003924966,37.613398199900985,-0.11805555555555555,0.020833333333333332,1,0,0,LeftHalf,None,38.4810452000238,38.4810452000238,40.49809299991466,40.49809299991466,44.54927279986441,45.61634619999677,42.530810999916866,42.530810999916866,42.530810999916866,43.83135629980825,43.83135629980825,8.208333333333332,1.2982521001249552,space,0.6928697002585977,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
gain,0.6,0.0,1.9,bottom,left,1.51,0,0,3,3,96,,,,,,,,,,,,,45.61634619999677,0.006919399835169315,45.61634619999677,0.2986111111111111,-0.19791666666666666,1,0,0,RightHalf,None,46.21720549999736,46.21720549999736,48.23416789993644,48.23416789993644,50.218270199839026,51.752271599834785,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
loss,-0.4,-1.68,0.0,top,right,1.1,0,0,4,4,128,,,,,,,,,,,,,51.752271599834785,0.013802599860355258,51.752271599834785,-0.1099537037037037,-0.11921296296296297,1,0,0,LeftHalf,None,52.452203599968925,52.452203599968925,54.470028599957004,54.470028599957004,56.45409879996441,57.571066999807954,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
loss,-0.5,-1.11,0.0,bottom,right,1.09,1,0,5,5,133,,,,,,,,,,,,,57.571066999807954,0.009248399874195457,57.571066999807954,-0.06481481481481481,-0.10416666666666667,1,0,0,LeftHalf,None,58.537996399914846,58.537996399914846,60.55577029986307,60.55577029986307,63.53986839996651,64.65721299988218,62.55513719981536,62.55513719981536,62.55513719981536,63.32230410003103,63.32230410003103,9.4375,0.7302545998245478,space,0.17749999999068677,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
mix,0.0,-1.1,0.33,top,right,1.04,0,0,6,6,22,,,,,,,,,,,,,64.65721299988218,0.008404700085520744,64.65721299988218,0.27662037037037035,-0.019675925925925927,1,0,0,RightHalf,None,66.45769429998472,66.45769429998472,68.47527269995771,68.47527269995771,70.45927460002713,71.5265703999903,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
mix,0.0,-0.8,0.8,bottom,left,1.72,0,0,7,7,20,,,,,,,,,,,,,71.5265703999903,0.007768100127577782,71.5265703999903,-0.12037037037037036,-0.0787037037037037,1,0,0,LeftHalf,None,73.16054219985381,73.16054219985381,75.17763759987429,75.17763759987429,77.16195439989679,78.91288259997964,,,,,,,,,,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
gain,0.5,0.0,1.0,bottom,right,1.98,0,0,8,8,82,,,,,,,,,,,,,78.91288259997964,0.010427500121295452,78.91288259997964,0.35185185185185186,-0.010416666666666666,1,0,0,RightHalf,None,81.3133715998847,81.3133715998847,83.3312005000189,83.3312005000189,87.7496004998684,89.75014589983039,85.33081309986301,85.33081309986301,85.33081309986301,87.33126039989293,87.33126039989293,8.78125,1.9641473998781294,space,0.40119890007190406,,001,2022-12-12_19h20.36.852,SWB_debug,2022.2.4,59.906210819583976,
,,,,,,,,,,,,,,,,,,,,,,,,89.75014589983039,0.009558099787682295,89.75014589983039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
